Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Fiscal Year 2023 Member Day",https://www.congress.gov/event/117th-congress/house-event/114829,117th,"House of Representatives",2022-05-24T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Food and Drug Administration",https://www.congress.gov/event/117th-congress/house-event/114643,117th,"House of Representatives",2022-05-19T14:00:00Z,"House Appropriations"
"Office of the Director of National Intelligence, Central Intelligence Agency and Office of the Under Secretary of Defense for Intelligence & Security Overview (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114798,117th,"House of Representatives",2022-05-19T13:30:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day Hearing",https://www.congress.gov/event/117th-congress/house-event/114756,117th,"House of Representatives",2022-05-19T13:00:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day Hearing (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114773,117th,"House of Representatives",2022-05-18T19:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the National Park Service",https://www.congress.gov/event/117th-congress/house-event/114785,117th,"House of Representatives",2022-05-18T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Commerce, Justice, Science, and Related Agencies Member Day",https://www.congress.gov/event/117th-congress/house-event/114766,117th,"House of Representatives",2022-05-18T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day Hearing",https://www.congress.gov/event/117th-congress/house-event/114797,117th,"House of Representatives",2022-05-18T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Internal Revenue Service",https://www.congress.gov/event/117th-congress/house-event/114779,117th,"House of Representatives",2022-05-18T17:00:00Z,"House Appropriations"
"Navy and Marine Corps Installations and Quality of Life Update",https://www.congress.gov/event/117th-congress/house-event/114755,117th,"House of Representatives",2022-05-18T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Federal Trade Commission and the Securities and Exchange Commission",https://www.congress.gov/event/117th-congress/house-event/114778,117th,"House of Representatives",2022-05-18T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Transportation Security Administration",https://www.congress.gov/event/117th-congress/house-event/114794,117th,"House of Representatives",2022-05-18T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 United States Navy and Marine Corps Budget",https://www.congress.gov/event/117th-congress/house-event/114791,117th,"House of Representatives",2022-05-18T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 United States Navy and Marine Corps Budget",https://www.congress.gov/event/117th-congress/house-event/114772,117th,"House of Representatives",2022-05-18T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Office of Management and Budget",https://www.congress.gov/event/117th-congress/house-event/114777,117th,"House of Representatives",2022-05-17T18:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the U.S. Immigration and Customs Enforcement",https://www.congress.gov/event/117th-congress/house-event/114792,117th,"House of Representatives",2022-05-17T17:30:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day Hearing",https://www.congress.gov/event/117th-congress/house-event/114743,117th,"House of Representatives",2022-05-17T17:00:00Z,"House Appropriations"
"United States Indo-Pacific Command (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114752,117th,"House of Representatives",2022-05-17T17:00:00Z,"House Appropriations"
"FY23 VA Electronic Health Record Modernization Budget Hearing",https://www.congress.gov/event/117th-congress/house-event/114754,117th,"House of Representatives",2022-05-17T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 United States Army Budget",https://www.congress.gov/event/117th-congress/house-event/114751,117th,"House of Representatives",2022-05-17T13:30:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Labor",https://www.congress.gov/event/117th-congress/house-event/114647,117th,"House of Representatives",2022-05-17T13:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the National Aeronautics and Space Administration",https://www.congress.gov/event/117th-congress/house-event/114765,117th,"House of Representatives",2022-05-17T13:00:00Z,"House Appropriations"
"Fiscal Year 2023 United States Air Force and Space Force Budget",https://www.congress.gov/event/117th-congress/house-event/114702,117th,"House of Representatives",2022-05-13T13:30:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day Hearing",https://www.congress.gov/event/117th-congress/house-event/114710,117th,"House of Representatives",2022-05-13T13:00:00Z,"House Appropriations"
"FY 2023 Budget Request for the Department of Energy Science and Energy Programs",https://www.congress.gov/event/117th-congress/house-event/114706,117th,"House of Representatives",2022-05-12T18:30:00Z,"House Appropriations"
"Army Installations and Quality of Life",https://www.congress.gov/event/117th-congress/house-event/114717,117th,"House of Representatives",2022-05-12T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Judiciary",https://www.congress.gov/event/117th-congress/house-event/114709,117th,"House of Representatives",2022-05-12T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the United States Coast Guard",https://www.congress.gov/event/117th-congress/house-event/114725,117th,"House of Representatives",2022-05-12T14:00:00Z,"House Appropriations"
"Healthy Aging: Maximizing the Independence, Well-being, and Health of Older Adults",https://www.congress.gov/event/117th-congress/house-event/114721,117th,"House of Representatives",2022-05-12T14:00:00Z,"House Appropriations"
"National Reconnaissance Office and National Geospatial-Intelligence Agency FY2023 Budget and Posture (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114703,117th,"House of Representatives",2022-05-12T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Department of Commerce",https://www.congress.gov/event/117th-congress/house-event/114715,117th,"House of Representatives",2022-05-12T13:30:00Z,"House Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR 2023",https://www.congress.gov/event/117th-congress/house-event/LC69462/text,117th,"House of Representatives",2022-05-12T04:00:00Z,"House Appropriations"
"FY23 Budget: National Nuclear Security Administration and Environmental Management",https://www.congress.gov/event/117th-congress/house-event/114705,117th,"House of Representatives",2022-05-11T18:00:00Z,"House Appropriations"
