Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"An oversight hearing to examine the Federal Communications Commission spectrum auctions program for fiscal year 2021.",https://www.congress.gov/event/116th-congress/senate-event/327586,116th,Senate,2020-06-16T14:00:00Z,"Senate Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67681/text,116th,Senate,2020-06-16T04:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Agriculture.",https://www.congress.gov/event/116th-congress/senate-event/327293,116th,Senate,2020-03-12T14:30:00Z,"Senate Appropriations"
"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67960/text,116th,Senate,2020-03-12T04:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Army Corps of Engineers and the Bureau of Reclamation within the Department of the Interior.",https://www.congress.gov/event/116th-congress/senate-event/327302,116th,Senate,2020-03-11T18:30:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Housing and Urban Development.",https://www.congress.gov/event/116th-congress/senate-event/327298,116th,Senate,2020-03-11T18:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Government Accountability Office and Congressional Budget Office.",https://www.congress.gov/event/116th-congress/senate-event/327285,116th,Senate,2020-03-11T18:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Navy and Marine Corps.",https://www.congress.gov/event/116th-congress/senate-event/327292,116th,Senate,2020-03-11T14:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC66041/text,116th,Senate,2020-03-11T04:00:00Z,"Senate Appropriations"
"LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67722/text,116th,Senate,2020-03-11T04:00:00Z,"Senate Appropriations"
"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENGIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67959/text,116th,Senate,2020-03-11T04:00:00Z,"Senate Appropriations"
"Hearings to examine fragility in the Sahel.",https://www.congress.gov/event/116th-congress/senate-event/327284,116th,Senate,2020-03-10T18:15:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Federal Communications Commission.",https://www.congress.gov/event/116th-congress/senate-event/327288,116th,Senate,2020-03-10T14:00:00Z,"Senate Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67077/text,116th,Senate,2020-03-10T04:00:00Z,"Senate Appropriations"
"STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67073/text,116th,Senate,2020-03-10T04:00:00Z,"Senate Appropriations"
"To receive a joint closed briefing on the Afghanistan agreement.",https://www.congress.gov/event/116th-congress/senate-event/327320,116th,Senate,2020-03-09T21:30:00Z,"Senate Foreign Relations, Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Commerce.",https://www.congress.gov/event/116th-congress/senate-event/327259,116th,Senate,2020-03-05T15:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Education.",https://www.congress.gov/event/116th-congress/senate-event/327264,116th,Senate,2020-03-05T15:00:00Z,"Senate Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC68203/text,116th,Senate,2020-03-05T05:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC66037/text,116th,Senate,2020-03-05T05:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Energy.",https://www.congress.gov/event/116th-congress/senate-event/327263,116th,Senate,2020-03-04T19:30:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Transportation.",https://www.congress.gov/event/116th-congress/senate-event/327255,116th,Senate,2020-03-04T15:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of the Interior.",https://www.congress.gov/event/116th-congress/senate-event/327245,116th,Senate,2020-03-04T15:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the National Guard and Reserve.",https://www.congress.gov/event/116th-congress/senate-event/327256,116th,Senate,2020-03-04T15:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC66040/text,116th,Senate,2020-03-04T05:00:00Z,"Senate Appropriations"
"DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67683/text,116th,Senate,2020-03-04T05:00:00Z,"Senate Appropriations"
"S.Hrg. 116-165 — DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC68952/text,116th,Senate,2020-03-04T05:00:00Z,"Senate Appropriations"
"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC67962/text,116th,Senate,2020-03-04T05:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Transportation Security Administration.",https://www.congress.gov/event/116th-congress/senate-event/327254,116th,Senate,2020-03-03T15:00:00Z,"Senate Appropriations"
"DEPARTMENT OF HOMELAND SECURITY APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC68249/text,116th,Senate,2020-03-03T05:00:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Health and Human Services.",https://www.congress.gov/event/116th-congress/senate-event/325613,116th,Senate,2020-02-25T15:30:00Z,"Senate Appropriations"
"Hearings to examine proposed budget estimates and justification for fiscal year 2021 for the Department of Homeland Security.",https://www.congress.gov/event/116th-congress/senate-event/325669,116th,Senate,2020-02-25T15:00:00Z,"Senate Appropriations"
"DEPARTMENT OF HOMELAND SECURITY APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC68248/text,116th,Senate,2020-02-25T05:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/116th-congress/senate-event/LC66036/text,116th,Senate,2020-02-25T05:00:00Z,"Senate Appropriations"
"Business meeting to markup H.R.5430, to implement the Agreement between the United States of America, the United Mexican States, and Canada attached as an Annex to the Protocol Replacing the North American Free Trade Agreement.",https://www.congress.gov/event/116th-congress/senate-event/326940,116th,Senate,2020-01-15T15:15:00Z,"Senate Appropriations"
"An oversight hearing examine the Federal Communications Commission, focusing on the spectrum auctions program.",https://www.congress.gov/event/116th-congress/senate-event/326706,116th,Senate,2019-11-21T15:45:00Z,"Senate Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66721/text,116th,Senate,2019-11-21T05:00:00Z,"Senate Appropriations"
"DEPARTMENT OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2019",https://www.congress.gov/event/117th-congress/senate-event/LC73930/text,117th,Senate,2019-11-05T05:00:00Z,"Senate Appropriations"
"DEPARTMENT OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2019",https://www.congress.gov/event/116th-congress/senate-event/LC73946/text,116th,Senate,2019-11-05T05:00:00Z,"Senate Appropriations"
"Hearings to examine United States policy and assistance in Syria.",https://www.congress.gov/event/116th-congress/senate-event/326588,116th,Senate,2019-10-23T18:30:00Z,"Senate Appropriations"
"STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65847/text,116th,Senate,2019-10-23T04:00:00Z,"Senate Appropriations"
"An oversight hearing to examine the Federal Communications Commission, focusing on the spectrum auctions program.",https://www.congress.gov/event/116th-congress/senate-event/326561,116th,Senate,2019-10-17T14:00:00Z,"Senate Appropriations"
"OVERSIGHT OF THE FEDERAL COMMUNICATIONS COMMISSION: SPECTRUM AUCTIONS PROGRAM",https://www.congress.gov/event/116th-congress/senate-event/LC66660/text,116th,Senate,2019-10-17T04:00:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for Interior, Environment, and related agencies for the fiscal year ending September 30, 2020, an original bill making appropriations for State, Foreign Operations, and related programs for the fiscal year ending September 30, 2020, an original bill making appropriations for Commerce, Justice, Science, and related agencies for the fiscal year ending September 30, 2020, an original bill making appropriations for Homeland Security for the fiscal year ending September 30, 2020, and an original bill making appropriations for Legislative Branch for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/330260,116th,Senate,2019-09-26T13:30:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326440,116th,Senate,2019-09-24T14:30:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of Commerce, the Department of Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326406,116th,Senate,2019-09-24T14:00:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of the Interior, the Environmental Protection Agency, and Related Agencies for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326403,116th,Senate,2019-09-24T13:30:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for Transportation, Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2020, an original bill making appropriations for Agriculture, Rural Development, and related agencies for the fiscal year ending September 30, 2020, and an original bill making appropriations for Financial Services and General Government for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326398,116th,Senate,2019-09-19T14:30:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of Agriculture, Rural Development, the Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326399,116th,Senate,2019-09-17T19:00:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for Financial Services and General Government for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326384,116th,Senate,2019-09-17T18:15:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of Transportation, the Department of Housing and Urban Development, and Related Agencies for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326385,116th,Senate,2019-09-17T15:30:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2020, an original bill making appropriations for Energy and Water Development for the fiscal year ending September 30, 2020, and 302(b) subcommittee allocations of budget outlays and new budget authority allocated to the committee in H.Con.Res.71, establishing the congressional budget for the United States Government for fiscal year 2018 and setting forth the appropriate budgetary levels for fiscal years 2019 through 2027.",https://www.congress.gov/event/116th-congress/senate-event/326353,116th,Senate,2019-09-12T13:30:00Z,"Senate Appropriations"
"Business meeting to markup an original bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2020.",https://www.congress.gov/event/116th-congress/senate-event/326340,116th,Senate,2019-09-10T14:00:00Z,"Senate Appropriations"
"LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64107/text,116th,Senate,2019-08-26T04:00:00Z,"Senate Appropriations"
"An oversight hearing to examine the Federal Aviation Administration.",https://www.congress.gov/event/116th-congress/senate-event/326260,116th,Senate,2019-07-31T13:45:00Z,"Senate Appropriations"
"S.Hrg. 116-501 — OVERSIGHT OF THE FEDERAL AVIATION ADMINISTRATION",https://www.congress.gov/event/116th-congress/senate-event/LC67422/text,116th,Senate,2019-07-31T04:00:00Z,"Senate Appropriations"
"Business meeting to markup an original bill entitled, ""Emergency Supplemental Appropriations for Humanitarian Assistance and Security at the Southern Border, 2019"".",https://www.congress.gov/event/116th-congress/senate-event/326013,116th,Senate,2019-06-19T14:30:00Z,"Senate Appropriations"
"Closed hearings to examine defense innovation and research funding.",https://www.congress.gov/event/116th-congress/senate-event/325927,116th,Senate,2019-06-05T14:00:00Z,"Senate Appropriations"
"To receive a closed briefing on proposed budget estimates and justification for fiscal year 2020 for Nuclear Modernization programs.",https://www.congress.gov/event/116th-congress/senate-event/325921,116th,Senate,2019-06-04T14:00:00Z,"Senate Appropriations"
"DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65790/text,116th,Senate,2019-05-22T04:00:00Z,"Senate Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66655/text,116th,Senate,2019-05-15T04:00:00Z,"Senate Appropriations"
"S.Hrg. 116-419 — DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64786/text,116th,Senate,2019-05-15T04:00:00Z,"Senate Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66654/text,116th,Senate,2019-05-08T04:00:00Z,"Senate Appropriations"
"S.Hrg. 116-356 — DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64891/text,116th,Senate,2019-05-08T04:00:00Z,"Senate Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66747/text,116th,Senate,2019-05-07T04:00:00Z,"Senate Appropriations"
"FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66653/text,116th,Senate,2019-05-07T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF HOMELAND SECURITY",https://www.congress.gov/event/116th-congress/senate-event/LC66975/text,116th,Senate,2019-05-02T04:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65240/text,116th,Senate,2019-05-02T04:00:00Z,"Senate Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66748/text,116th,Senate,2019-05-01T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64890/text,116th,Senate,2019-05-01T04:00:00Z,"Senate Appropriations"
"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC67128/text,116th,Senate,2019-05-01T04:00:00Z,"Senate Appropriations"
"S.Hrg. 116-419 — DEPARTMENT OF THE INTERIOR, ENVIRONMENT AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64784/text,116th,Senate,2019-05-01T04:00:00Z,"Senate Appropriations"
"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66075/text,116th,Senate,2019-04-30T04:00:00Z,"Senate Appropriations"
"STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64793/text,116th,Senate,2019-04-30T04:00:00Z,"Senate Appropriations"
"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64855/text,116th,Senate,2019-04-11T04:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65237/text,116th,Senate,2019-04-11T04:00:00Z,"Senate Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66749/text,116th,Senate,2019-04-10T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64889/text,116th,Senate,2019-04-10T04:00:00Z,"Senate Appropriations"
"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC67127/text,116th,Senate,2019-04-10T04:00:00Z,"Senate Appropriations"
"LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64502/text,116th,Senate,2019-04-10T04:00:00Z,"Senate Appropriations"
"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66074/text,116th,Senate,2019-04-09T04:00:00Z,"Senate Appropriations"
"NONDEPARTMENTAL WITNESSES",https://www.congress.gov/event/116th-congress/senate-event/LC67199/text,116th,Senate,2019-04-09T04:00:00Z,"Senate Appropriations"
"STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64792/text,116th,Senate,2019-04-09T04:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65238/text,116th,Senate,2019-04-04T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64888/text,116th,Senate,2019-04-03T04:00:00Z,"Senate Appropriations"
"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC67132/text,116th,Senate,2019-04-03T04:00:00Z,"Senate Appropriations"
"FEDERAL EMERGENCY MANAGEMENT AGENCY",https://www.congress.gov/event/116th-congress/senate-event/LC66972/text,116th,Senate,2019-04-03T04:00:00Z,"Senate Appropriations"
"LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64500/text,116th,Senate,2019-04-03T04:00:00Z,"Senate Appropriations"
"S.Hrg. 116-419 — DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64785/text,116th,Senate,2019-04-03T04:00:00Z,"Senate Appropriations"
"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66949/text,116th,Senate,2019-04-03T04:00:00Z,"Senate Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66750/text,116th,Senate,2019-04-02T04:00:00Z,"Senate Appropriations"
"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64856/text,116th,Senate,2019-03-28T04:00:00Z,"Senate Appropriations"
"COAST GUARD",https://www.congress.gov/event/116th-congress/senate-event/LC66971/text,116th,Senate,2019-03-28T04:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65241/text,116th,Senate,2019-03-28T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64887/text,116th,Senate,2019-03-27T04:00:00Z,"Senate Appropriations"
"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66992/text,116th,Senate,2019-03-27T04:00:00Z,"Senate Appropriations"
"LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64499/text,116th,Senate,2019-03-27T04:00:00Z,"Senate Appropriations"
"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66948/text,116th,Senate,2019-03-27T04:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65236/text,116th,Senate,2019-03-14T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64886/text,116th,Senate,2019-03-13T04:00:00Z,"Senate Appropriations"
"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC64532/text,116th,Senate,2019-02-28T05:00:00Z,"Senate Appropriations"
"DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC65780/text,116th,Senate,2019-02-25T05:00:00Z,"Senate Appropriations"
"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/116th-congress/senate-event/LC66073/text,116th,Senate,2019-02-05T05:00:00Z,"Senate Appropriations"
"THE FUTURE OF NUCLEAR POWER: ADVANCED REACTORS",https://www.congress.gov/event/116th-congress/senate-event/LC66991/text,116th,Senate,2019-01-16T05:00:00Z,"Senate Appropriations"
