chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,116,1,2,2,2019-01-10,Motion to Invoke Cloture on the Motion to Proceed to S. 1,On Cloture on the Motion to Proceed S. 1,Cloture on the Motion to Proceed Rejected,53,43,0,4
Senate,116,1,1,1,2019-01-08,Motion to Invoke Cloture on the Motion to Proceed to S. 1,On Cloture on the Motion to Proceed S. 1,Cloture on the Motion to Proceed Rejected,56,44,0,0
Senate,116,1,3,3,2019-01-14,Motion to Invoke Cloture on the Motion to Proceed to S. 1,On Cloture on the Motion to Proceed S. 1,Cloture on the Motion to Proceed Rejected,50,43,0,7
Senate,116,1,5,5,2019-01-15,Motion to Proceed to S.J. Res. 2,On the Motion to Proceed S.J.Res. 2,Motion to Proceed Agreed to,57,42,0,1
Senate,116,1,4,4,2019-01-15,Motion to Table the Motion to Proceed to S.J. Res. 2,On the Motion to Table S.J.Res. 2,Motion to Table Failed,42,57,0,1
Senate,116,1,6,6,2019-01-16,Motion to Invoke Cloture on S.J. Res. 2,On the Cloture Motion S.J.Res. 2,Cloture Motion Rejected,57,42,0,1
Senate,116,1,8,8,2019-01-24,Motion to Instruct the Sergeant at Arms to Request the Presence of Absentee Senators,On the Motion for Attendance H.R. 268,Motion for Attendance Agreed to,88,8,0,4
Senate,116,1,9,9,2019-01-24,Motion Invoke Cloture on the Shelby Amdt. No. 5,"On the Cloture Motion S.Amdt. 5 to H.R. 268 (Supplemental Appropriations Act, 2019)",Cloture Motion Rejected,50,47,0,3
Senate,116,1,7,7,2019-01-17,Motion to Invoke Cloture on the Motion to Proceed to S. 109,On Cloture on the Motion to Proceed S. 109,Cloture on the Motion to Proceed Rejected,48,47,0,5
Senate,116,1,11,11,2019-01-28,"Upon Reconsideration, Motion to Invoke Cloture on the Motion to Proceed to S. 1",On Cloture on the Motion to Proceed S. 1,Cloture on the Motion to Proceed Agreed to,74,19,0,7
Senate,116,1,10,10,2019-01-24,Motion to Invoke Cloture on the Schumer Amdt. No. 6,"On the Cloture Motion S.Amdt. 6 to H.R. 268 (Supplemental Appropriations Act, 2019)",Cloture Motion Rejected,52,44,0,4
Senate,116,1,12,12,2019-01-29,Motion to Proceed to S. 1,On the Motion to Proceed S. 1,Motion to Proceed Agreed to,76,22,0,2
Senate,116,1,13,13,2019-01-31,Motion to Invoke Cloture on McConnell Amdt. No. 65,On the Cloture Motion S.Amdt. 65 to S. 1 (Strengthening America's Security in the Middle East Act of 2019),Cloture Motion Agreed to,68,23,0,9
Senate,116,1,14,14,2019-02-04,"McConnell Amdt. No. 65, As Amended",On the Amendment S.Amdt. 65 to S. 1 (Strengthening America's Security in the Middle East Act of 2019),Amendment Agreed to,70,26,0,4
Senate,116,1,15,15,2019-02-04,Motion to Invoke Cloture on S. 1,On the Cloture Motion S. 1,Cloture Motion Agreed to,72,24,0,4
Senate,116,1,18,18,2019-02-07,Motion to Table Lankford Amdt. No. 158,"On the Motion to Table S.Amdt. 158 to S.Amdt. 111 to S. 47 (John D. Dingell, Jr. Conservation, Management, and Recreation Act)",Motion to Table Agreed to,66,33,0,1
