chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,117,2,1,1,2022-01-05,Motion to Invoke Cloture: Anne A. Witkowsky to be an Assistant Secretary of State (Conflict and Stabilization Operations),On the Cloture Motion PN496,Cloture Motion Agreed to,62,24,0,14
Senate,117,2,3,3,2022-01-10,Motion to Invoke Cloture: Alan Davidson to be Assistant Secretary of Commerce for Communications and Information.,On the Cloture Motion PN1321,Cloture Motion Agreed to,64,30,0,6
Senate,117,2,2,2,2022-01-05,"Confirmation: Anne A. Witkowsky, of Maryland, to be an Assistant Secretary of State (Conflict and Stabilization Operations)",On the Nomination PN496,Nomination Confirmed,61,26,0,13
Senate,117,2,4,4,2022-01-11,"Confirmation: Alan Davidson, of Maryland, to be Assistant Secretary of Commerce for Communications and Information",On the Nomination PN1321,Nomination Confirmed,60,31,0,9
Senate,117,2,6,6,2022-01-12,"Confirmation: Amitabha Bose, of New Jersey, to be Administrator of the Federal Railroad Administration",On the Nomination PN435,Nomination Confirmed,68,29,0,3
Senate,117,2,5,5,2022-01-11,Motion to Invoke Cloture: Amitabha Bose to be Administrator of the Federal Railroad Administration,On the Cloture Motion PN435,Cloture Motion Agreed to,61,29,0,10
Senate,117,2,7,7,2022-01-12,"Confirmation: Gabriel P. Sanchez, of California, to be U.S. Circuit Judge for the Ninth Circuit",On the Nomination PN1168,Nomination Confirmed,52,47,0,1
Senate,117,2,9,9,2022-01-19,Motion to Invoke Cloture: Motion to Concur in the House Amendment to the Senate Amendment to H.R. 5746,On the Cloture Motion H.R. 5746,Cloture Motion Rejected,49,51,0,0
Senate,117,2,8,8,2022-01-13,S. 3436,On Passage of the Bill S. 3436,Bill Defeated,55,44,0,1
Senate,117,2,10,10,2022-01-19,Shall the Decision of the Chair stand as the Judgement of the Senate,On the Decision of the Chair H.R. 5746,Decision of Chair Sustained,52,48,0,0
Senate,117,2,11,11,2022-01-20,"Confirmation: Holly A. Thomas, of California, to be U.S. Circuit Judge for the Ninth Circuit",On the Nomination PN1169,Nomination Confirmed,48,40,0,12
Senate,117,2,12,12,2022-01-31,Motion to Invoke Cloture: Bridget Meehan Brennan to be U.S. District Judge for the Northern District of Ohio,On the Cloture Motion PN1494,Cloture Motion Agreed to,61,30,0,9
Senate,117,2,13,13,2022-02-01,"Confirmation: Bridget Meehan Brennan, of Ohio, to be U.S. District Judge for the Northern District of Ohio",On the Nomination PN1494,Nomination Confirmed,61,35,0,4
Senate,117,2,14,14,2022-02-01,Motion to Invoke Cloture: Charles Esque Fleming to be U.S. District Judge for the Northern District of Ohio,On the Cloture Motion PN1499,Cloture Motion Agreed to,55,41,0,4
Senate,117,2,15,15,2022-02-01,"Confirmation: Charles Esque Fleming, of Ohio, to be U.S. District Judge for the Northern District of Ohio",On the Nomination PN1499,Nomination Confirmed,56,42,0,2
Senate,117,2,16,16,2022-02-01,Motion to Invoke Cloture: David Augustin Ruiz to be U.S. District Judge for the Northern District of Ohio,On the Cloture Motion PN1506,Cloture Motion Agreed to,59,38,0,3
Senate,117,2,17,17,2022-02-01,Confirmation: David Augustin Ruiz to be U.S. District Judge for the Northern District of Ohio,On the Nomination PN1506,Nomination Confirmed,62,35,0,3
Senate,117,2,18,18,2022-02-01,Motion to Invoke Cloture: Rupa Ranga Puttagunta to be Associate Judge of the Superior Court of the District of Columbia,On the Cloture Motion PN386,Cloture Motion Agreed to,59,38,0,3
Senate,117,2,19,19,2022-02-01,Motion to Invoke Cloture: Kenia Seoane Lopez to be an Associate Judge of the Superior Court of the District of Columbia,On the Cloture Motion PN638,Cloture Motion Agreed to,59,38,0,3
Senate,117,2,20,20,2022-02-01,Motion to Invoke Cloture: Sean C. Staples to be an Associate Judge of the Superior Court of the District of Columbia,On the Cloture Motion PN800,Cloture Motion Agreed to,55,38,0,7
Senate,117,2,21,21,2022-02-02,"Confirmation: Rupa Ranga Puttagunta, of the District of Columbia, to be Associate Judge if the Superior Court of the District of Columbia",On the Nomination PN386,Nomination Confirmed,57,38,0,5
Senate,117,2,22,22,2022-02-02,Motion to Invoke Cloture: Ebony M. Scott to be an Associate Judge of the Superior Court of the District of Columbia,On the Cloture Motion PN1203,Cloture Motion Agreed to,58,37,0,5
Senate,117,2,23,23,2022-02-02,Motion to Invoke Cloture: Donald Walker Tunnage to be an Associate Judge of the Superior Court of the District of Columbia,On the Cloture Motion PN1204,Cloture Motion Agreed to,57,38,0,5
Senate,117,2,24,24,2022-02-02,"Confirmation: Kenia Seoane Lopez, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia",On the Nomination PN638,Nomination Confirmed,59,38,0,3
Senate,117,2,25,25,2022-02-02,"Confirmation: Sean C. Staples, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia",On the Nomination PN800,Nomination Confirmed,59,38,0,3
Senate,117,2,26,26,2022-02-02,Motion to Invoke Cloture: John P. Howard III to be an Associate Judge of the District of Columbia Court of Appeals,On the Cloture Motion PN996,Cloture Motion Agreed to,62,34,0,4
Senate,117,2,27,27,2022-02-02,Motion to Invoke Cloture: Loren L. AliKhan to be an Associate Judge of the District of Columbia Court of Appeals,On the Cloture Motion PN1201,Cloture Motion Agreed to,55,40,0,5
Senate,117,2,28,28,2022-02-02,Motion to Invoke Cloture: Amy Gutmann to be Ambassador of the United States of America to the Federal Republic of Germany,On the Cloture Motion PN1577,Cloture Motion Agreed to,54,37,0,9
Senate,117,2,29,29,2022-02-02,Motion to Invoke Cloture: Lisa A. Carty to be Representative of the United States of America on the Economic and Social Council of the United Nations,On the Cloture Motion PN1567,Cloture Motion Agreed to,66,28,0,6
Senate,117,2,30,30,2022-02-02,Motion to Invoke Cloture: Scott A. Nathan to be Chief Executive Officer of the U.S. International Development Finance Corporation,On the Cloture Motion PN1060,Cloture Motion Agreed to,68,26,0,6
Senate,117,2,31,31,2022-02-02,"Motion to Invoke Cloture: Chantale Yokmin Wong to be U.S. Director of the Asian Development Bank, with the Rank of Ambassador",On the Cloture Motion PN782,Cloture Motion Agreed to,64,30,0,6
Senate,117,2,32,32,2022-02-02,Motion to Invoke Cloture: John Patrick Coffey to be General Counsel of the Department of the Navy,On the Cloture Motion PN1018,Cloture Motion Agreed to,76,18,0,6
Senate,117,2,33,33,2022-02-03,Motion to Invoke Cloture: Alexandra Baker to be a Deputy Under Secretary of Defense,On the Cloture Motion PN1020,Cloture Motion Agreed to,70,24,0,6
Senate,117,2,34,34,2022-02-03,Motion to Invoke Cloture: Reta Jo Lewis to be President of the Export-Import Bank of the United States ,On the Cloture Motion PN1528,Cloture Motion Agreed to,54,39,0,7
Senate,117,2,35,35,2022-02-03,Motion to Invoke Cloture: Leonard Philip Stark to be U.S. Circuit Judge for the Federal Circuit,On the Cloture Motion PN1508,Cloture Motion Agreed to,54,33,0,13
Senate,117,2,36,36,2022-02-07,"Confirmation: Ebony M. Scott, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia",On the Nomination PN1203,Nomination Confirmed,55,38,0,7
Senate,117,2,37,37,2022-02-07,"Confirmation: Donald Walker Tunnage, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia",On the Nomination PN1204,Nomination Confirmed,54,39,0,7
Senate,117,2,38,38,2022-02-08,"Confirmation: John P. Howard III, of the District of Columbia, to be an Associate Judge of the District of Columbia Court of Appeals",On the Nomination PN996,Nomination Confirmed,62,34,0,4
Senate,117,2,39,39,2022-02-08,"Confirmation: Loren L. AliKhan, of the District of Columbia, to be an Associate Judge of the District of Columbia Court of Appeals",On the Nomination PN1201,Nomination Confirmed,55,41,0,4
Senate,117,2,40,40,2022-02-08,"Confirmation: Amy Gutmann, of Pennsylvania, to be Ambassador of the United States of America to the Federal Republic of Germany",On the Nomination PN1577,Nomination Confirmed,54,42,0,4
Senate,117,2,41,41,2022-02-08,"Confirmation: Lisa A. Carty, of Maryland, to be Representative of the United States of America on the Economic and Social Council of the United Nations, with the rank of Ambassador",On the Nomination PN1567,Nomination Confirmed,68,27,0,5
Senate,117,2,42,42,2022-02-08,"Confirmation: Chantale Yokmin Wong, of the District of Columbia, to be United States Director of the Asian Development Bank",On the Nomination PN782,Nomination Confirmed,66,31,0,3
Senate,117,2,43,43,2022-02-09,"Confirmation: Scott A. Nathan, of Massachusetts, to be Chief Executive Officer of the U.S. International Development Finance Corporation",On the Nomination PN1060,Nomination Confirmed,72,24,0,4
Senate,117,2,44,44,2022-02-09,Motion to Invoke Cloture: Douglas R. Bush to be an Assistant Secretary of the Army,On the Cloture Motion PN1183,Cloture Motion Agreed to,95,2,0,3
Senate,117,2,45,45,2022-02-09,"Confirmation: Douglas R. Bush, of Virginia, to be an Assistant Secretary of the Army",On the Nomination PN1183,Nomination Confirmed,93,2,0,5
Senate,117,2,46,46,2022-02-09,"Confirmation: John Patrick Coffey, of New York, to be General Counsel of the Department of the Navy",On the Nomination PN1018,Nomination Confirmed,79,17,0,4
Senate,117,2,47,47,2022-02-09,"Confirmation: Alexandra Baker, of New Jersey, to be a Deputy Under Secretary of Defense",On the Nomination PN1020,Nomination Confirmed,75,21,0,4
Senate,117,2,48,48,2022-02-09,"Confirmation: Reta Jo Lewis, of Georgia, to be President of the Export-Import Bank of the United States",On the Nomination PN1528,Nomination Confirmed,56,40,0,4
Senate,117,2,49,49,2022-02-09,"Confirmation: Leonard Philip Stark, of Delaware, to be U.S. Circuit Judge for the Federal Circuit",On the Nomination PN1508,Nomination Confirmed,61,35,0,4
Senate,117,2,50,50,2022-02-09,"Confirmation: Neil Harvey MacBride, of Virginia, to be General Counsel for the Department of the Treasury",On the Nomination PN615,Nomination Confirmed,61,33,0,6
Senate,117,2,51,51,2022-02-09,Motion to Discharge Samuel R. Bagenstos to be General Counsel of the Department of HHS,On the Motion to Discharge PN1026,Motion to Discharge Agreed to,48,47,0,5
Senate,117,2,52,52,2022-02-10,Motion to Invoke Cloture: Max Vekich to be a Federal Maritime Commissioner,On the Cloture Motion PN1537,Cloture Motion Agreed to,52,45,0,3
Senate,117,2,53,53,2022-02-10,"Confirmation: Max Vekich, of Washington, to be a Federal Maritime Commissioner",On the Nomination PN1537,Nomination Confirmed,51,43,0,6
Senate,117,2,54,54,2022-02-14,"Motion to Invoke Cloture: Robert McKinnon Califf to be Commissioner of Food and Drugs, Department of Health and Human Services",On the Cloture Motion PN1593,Cloture Motion Agreed to,49,45,0,6
Senate,117,2,55,55,2022-02-15,"Confirmation: Robert McKinnon Califf, of North Carolina, to be Commissioner of Food and Drugs, Department of Health and Human Services",On the Nomination PN1593,Nomination Confirmed,50,46,1,3
Senate,117,2,56,56,2022-02-16,Motion to Invoke Cloture: Celeste Ann Wallander to be an Assistant Secretary of Defense,On the Cloture Motion PN730,Cloture Motion Agreed to,81,13,0,6
Senate,117,2,57,57,2022-02-16,Motion to Invoke Cloture: David A. Honey to be Deputy Under Secretary of Defense,On the Cloture Motion PN1001,Cloture Motion Agreed to,93,3,0,4
Senate,117,2,58,58,2022-02-16,"Confirmation: Celeste Ann Wallander, of Maryland, to be an Assistant Secretary of Defense",On the Nomination PN730,Nomination Confirmed,83,13,0,4
Senate,117,2,59,59,2022-02-16,"Confirmation: David A. Honey, of Virginia, to be Deputy Under Secretary of Defense",On the Nomination PN1001,Nomination Confirmed,94,1,0,5
Senate,117,2,60,60,2022-02-17,Motion to Invoke Cloture: Motion to Proceed to H.R. 6617,On the Cloture Motion H.R. 6617,Cloture Motion Agreed to,65,30,0,5
Senate,117,2,61,61,2022-02-17,Lee Amdt. No. 4929,On the Amendment S.Amdt. 4929 to H.R. 6617 (Further Additional Extending Government Funding Act),Amendment Rejected,46,47,0,7
Senate,117,2,62,62,2022-02-17,Cruz Amdt No. 4927,On the Amendment S.Amdt. 4927 to H.R. 6617 (Further Additional Extending Government Funding Act),Amendment Rejected,44,49,0,7
Senate,117,2,63,63,2022-02-17,Braun Amdt. No. 4930,On the Amendment S.Amdt. 4930 to H.R. 6617 (Further Additional Extending Government Funding Act),Amendment Rejected,47,45,0,8
Senate,117,2,64,64,2022-02-17,H.R. 6617,On Passage of the Bill H.R. 6617,Bill Passed,65,27,0,8
Senate,117,2,65,65,2022-02-28,Motion to Invoke Cloture: Motion to Proceed to H.R. 3755.,On Cloture on the Motion to Proceed H.R. 3755,Cloture on the Motion to Proceed Rejected,46,48,0,6
Senate,117,2,66,66,2022-02-28,Motion to Invoke Cloture: Motion to Proceed to H.R. 3076,On Cloture on the Motion to Proceed H.R. 3076,Cloture on the Motion to Proceed Agreed to,74,20,0,6
Senate,117,2,67,67,2022-03-02,S.J. Res. 32,On the Joint Resolution S.J.Res. 32,Joint Resolution Passed,49,44,0,7
Senate,117,2,68,68,2022-03-03,S.J. Res. 38,On the Joint Resolution S.J.Res. 38,Joint Resolution Passed,48,47,0,5
Senate,117,2,69,69,2022-03-07,Motion to Invoke Cloture: H.R. 3076,On the Cloture Motion H.R. 3076,Cloture Motion Agreed to,74,17,0,9
Senate,117,2,70,70,2022-03-08,Motion to Waive Sect. 3101 (b) of S. Con. Res. 11 (114th Congress),On the Motion (Motion to Waive Sect. 3101 (b) of S. Con. Res. 11 (114th Congress)),Motion Agreed to,68,30,0,2
Senate,117,2,71,71,2022-03-08,H.R. 3076,On Passage of the Bill H.R. 3076,Bill Passed,79,19,0,2
Senate,117,2,72,72,2022-03-08,Motion to Invoke Cloture: Maria L. Pagan to be a Deputy U.S. Trade Representative (Geneva Office),On the Cloture Motion PN1053,Cloture Motion Agreed to,78,19,0,3
Senate,117,2,74,74,2022-03-10,"Confirmation: Maria L. Pagan, of Puerto Rico, to be a Deputy United States Trade Representative (Geneva Office), with the Rank of Ambassador",On the Nomination PN1053,Nomination Confirmed,80,19,0,1
Senate,117,2,73,73,2022-03-10,Motion to Discharge: S.J. Res. 35,On the Motion to Discharge S.J.Res. 35,Motion to Discharge Rejected,19,80,0,1
Senate,117,2,75,75,2022-03-10,Lee Amdt. No. 4989,"On the Amendment S.Amdt. 4989 to H.R. 2471 (Haiti Development, Accountability, and Institutional Transparency Initiative Act)",Amendment Rejected,49,50,0,1
Senate,117,2,77,77,2022-03-10,Kennedy Amdt. No. 4983,"On the Amendment S.Amdt. 4983 to H.R. 2471 (Haiti Development, Accountability, and Institutional Transparency Initiative Act)",Amendment Rejected,35,64,0,1
Senate,117,2,78,78,2022-03-10,Senate Concurs in the House Amendment to the Senate Amendment to H.R. 2471,On the Motion (Senate Concurs in the House Amendment to the Senate Amendment to H.R. 2471),Motion Agreed to,68,31,0,1
Senate,117,2,76,76,2022-03-10,Braun Amdt. No. 4990,"On the Amendment S.Amdt. 4990 to H.R. 2471 (Haiti Development, Accountability, and Institutional Transparency Initiative Act)",Amendment Rejected,35,64,0,1
Senate,117,2,79,79,2022-03-14,"Motion to Invoke Cloture: Shalanda D. Young, of Louisiana, to be Director of the Office of Management and Budget",On the Cloture Motion PN1437,Cloture Motion Agreed to,53,31,0,16
Senate,117,2,80,80,2022-03-15,"Confirmation: Shalanda D. Young, of Louisiana, to be Director of the Office of Management and Budget",On the Nomination PN1437,Nomination Confirmed,61,36,0,3
Senate,117,2,81,81,2022-03-15,S.J. Res. 37,On the Joint Resolution S.J.Res. 37,Joint Resolution Passed,57,40,0,3
Senate,117,2,82,82,2022-03-16,Motion to Invoke Cloture: Jacqueline Scott Corley to be U.S. District Judge for the Northern District of California,On the Cloture Motion PN1498,Cloture Motion Agreed to,63,35,0,2
Senate,117,2,83,83,2022-03-16,Motion to Invoke Cloture: Fred W. Slaughter to be U.S. District Judge for the Central District of California,On the Cloture Motion PN1485,Cloture Motion Agreed to,56,41,0,3
Senate,117,2,84,84,2022-03-16,Motion to Invoke Cloture: Ruth Bermudez Montenegro to be U.S. District Judge for the Southern District of California,On the Cloture Motion PN1503,Cloture Motion Agreed to,57,42,0,1
Senate,117,2,85,85,2022-03-16,Motion to Invoke Cloture: Victoria Marie Calvert to be U.S. District Judge for the Northern District of Georgia,On the Cloture Motion PN1495,Cloture Motion Agreed to,52,46,0,2
Senate,117,2,86,86,2022-03-16,Motion to Invoke Cloture: Julie Rebecca Rubin to be U.S. District Judge for the District of Maryland,On the Cloture Motion PN1505,Cloture Motion Agreed to,52,45,0,3
Senate,117,2,87,87,2022-03-16,Motion to Invoke Cloture: Hector Gonzalez to be U.S. District Judge for the Eastern District of New York,On the Cloture Motion PN1479,Cloture Motion Agreed to,52,44,0,4
