chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,113,2,2,2,2014-01-07,Motion to Invoke Cloture on the Motion to Proceed to S. 1845,On Cloture on the Motion to Proceed S. 1845,Cloture on the Motion to Proceed Agreed to,60,37,0,3
Senate,113,2,3,3,2014-01-09,Motion to Table the Motion to Commit S.1845 to the Committee on Finance,On the Motion to Table S. 1845,Motion to Table Failed,42,54,0,4
Senate,113,2,1,1,2014-01-06,"Confirmation Janet L. Yellen, to be Chairman of the Board of Governors of the Federal Reserve System",On the Nomination PN921,Nomination Confirmed,56,26,0,18
Senate,113,2,4,4,2014-01-09,"Motion to Proceed to the Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Robert Wilkins, to be U.S. Circuit Judge",On the Motion to Proceed PN529,Motion to Proceed Agreed to,53,41,0,6
Senate,113,2,5,5,2014-01-09,"Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Robert Wilkins, to be U.S. Circuit Judge",On the Motion to Reconsider PN529,Motion to Reconsider Agreed to,54,40,0,6
Senate,113,2,6,6,2014-01-09,Upon Reconsideration Motion to Invoke Cloture on the Nomination of Robert Wilkins to be U.S. Circuit Judge for the D.C. Circuit,On the Cloture Motion PN529,Cloture Motion Agreed to,55,38,1,6
Senate,113,2,7,7,2014-01-13,"Confirmation Robert Leon Wilkins, of D.C., to be U.S. Circuit Judge for the D.C. Circuit",On the Nomination PN529,Nomination Confirmed,55,43,0,2
Senate,113,2,8,8,2014-01-14,Motion to Table the Motion to Commit S. 1845 to the Committee on Finance with Instructions,On the Motion to Table S. 1845,Motion to Table Failed,45,55,0,0
Senate,113,2,9,9,2014-01-14,Motion to Invoke Cloture on Amdt. No. 2631 to S. 1845,On the Cloture Motion S.Amdt. 2631 to S. 1845 (Emergency Unemployment Compensation Extension Act),Cloture Motion Rejected,52,48,0,0
Senate,113,2,10,10,2014-01-14,Motion to Invoke Cloture on S. 1845,On the Cloture Motion S. 1845,Cloture Motion Rejected,55,45,0,0
Senate,113,2,12,12,2014-01-16,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to Senate Amendment to H.R. 3547,On the Cloture Motion H.R. 3547,Cloture Motion Agreed to,72,26,0,2
Senate,113,2,11,11,2014-01-15,H.J.Res. 106,On the Joint Resolution H.J.Res. 106,Joint Resolution Passed,86,14,0,0
Senate,113,2,13,13,2014-01-16,Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3547,On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3547),Motion Agreed to,72,26,0,2
Senate,113,2,15,15,2014-01-29,Motion to Waive All Applicable Budgetary Discipline Re: S. 1926,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: S. 1926),Motion Agreed to,64,35,0,1
Senate,113,2,14,14,2014-01-27,Motion to Invoke Cloture on the Motion to Proceed to S.1926,On Cloture on the Motion to Proceed S. 1926,Cloture on the Motion to Proceed Agreed to,86,13,0,1
Senate,113,2,16,16,2014-01-30,Toomey Amdt. No. 2707 As Modified,On the Amendment S.Amdt. 2707 to S. 1926 (No short title on file),Amendment Rejected,34,65,0,1
Senate,113,2,18,18,2014-01-30,Heller Amdt. No. 2700,On the Amendment S.Amdt. 2700 to S. 1926 (No short title on file),Amendment Rejected,49,50,0,1
Senate,113,2,17,17,2014-01-30,Coburn Amdt. No. 2697,On the Amendment S.Amdt. 2697 to S. 1926 (No short title on file),Amendment Rejected,24,75,0,1
Senate,113,2,19,19,2014-01-30,S. 1926 As Amended,On Passage of the Bill S. 1926,Bill Passed,67,32,0,1
Senate,113,2,21,21,2014-02-04,Conference Report to Accompany H.R. 2642,On the Conference Report H.R. 2642,Conference Report Agreed to,68,32,0,0
Senate,113,2,20,20,2014-02-03,Motion to Invoke Cloture on the Conference Report to Accompany H.R. 2642,On the Cloture Motion H.R. 2642,Cloture Motion Agreed to,72,22,0,6
Senate,113,2,22,22,2014-02-04,Motion to Table Amdt. No. 2631,On the Motion to Table S.Amdt. 2631 to S. 1845 (Emergency Unemployment Compensation Extension Act),Motion to Table Agreed to,98,0,0,2
Senate,113,2,23,23,2014-02-06,Motion to Invoke Cloture on Amdt. No. 2714 to S.1845,On the Cloture Motion S.Amdt. 2714 to S. 1845 (Emergency Unemployment Compensation Extension Act),Cloture Motion Rejected,58,40,0,2
Senate,113,2,24,24,2014-02-06,Motion to Invoke Cloture on S.1845,On the Cloture Motion S. 1845,Cloture Motion Rejected,55,43,0,2
Senate,113,2,25,25,2014-02-06,"Confirmation Max Sieben Baucus, of Montana, to be Ambassador to the People's Republic of China",On the Nomination PN1295,Nomination Confirmed,96,0,1,3
Senate,113,2,26,26,2014-02-10,Motion to Invoke Cloture on the Motion to Proceed to S.1963,On Cloture on the Motion to Proceed S. 1963,Cloture on the Motion to Proceed Agreed to,94,0,0,5
Senate,113,2,27,27,2014-02-11,"Confirmation Richard Stengel, of New York, to be Under Secretary of State",On the Nomination PN1096,Nomination Confirmed,90,8,0,2
Senate,113,2,28,28,2014-02-11,"Confirmation Sarah Sewall, of Massachusetts, to be an Under Secretary of State",On the Nomination PN1097,Nomination Confirmed,97,1,0,2
Senate,113,2,29,29,2014-02-11,"Confirmation Charles Hammerman Rivkin, of DC, to be an Assistant Secretary of State",On the Nomination PN1100,Nomination Confirmed,92,6,0,2
Senate,113,2,30,30,2014-02-12,"Confirmation Tina S. Kaidanow, of D.C., to be Coordinator for Counterterrorism",On the Nomination PN1114,Nomination Confirmed,98,0,0,2
Senate,113,2,31,31,2014-02-12,"Confirmation Daniel Bennett Smith, of Virginia, to be an Assistant Secretary of State",On the Nomination PN1178,Nomination Confirmed,98,0,0,2
Senate,113,2,32,32,2014-02-12,"Confirmation Catherine Ann Novelli, of VA, to be United States Alternate Governor of the International Bank for Reconstruction and Development",On the Nomination PN1119,Nomination Confirmed,97,0,0,3
Senate,113,2,33,33,2014-02-12,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S.540,On the Cloture Motion S. 540,Cloture Motion Agreed to,67,31,0,2
Senate,113,2,34,34,2014-02-12,Motion to Concur in the House Amendment to S.540,On the Motion (Motion to Concur in the House Amendment to S.540),Motion Agreed to,55,43,0,2
Senate,113,2,35,35,2014-02-12,Motion to Concur in the House Amendment to S.25,On the Motion (Motion to Concur in the House Amendment to S.25),Motion Agreed to,95,3,0,2
Senate,113,2,36,36,2014-02-24,"Motion to Invoke Cloture on the Nomination of Jeffrey Meyer, of CT, to be U.S. District Judge",On the Cloture Motion PN1192,Cloture Motion Agreed to,55,37,1,7
Senate,113,2,37,37,2014-02-24,"Confirmation Jeffrey Alker Meyer, of Connecticut, to be U.S. District Judge for the District of Connecticut",On the Nomination PN1192,Nomination Confirmed,91,2,0,7
Senate,113,2,38,38,2014-02-24,"Motion to Invoke Cloture on the Nomination of James MAxwell Moody, Jr., of Arkansas, to be U.S. District Judge for the Eastern District of Arkansas",On the Cloture Motion PN1203,Cloture Motion Agreed to,58,34,1,7
Senate,113,2,39,39,2014-02-25,"Confirmation James Maxwell Moody, Jr., of Arkansas, to be U.S. District Judge for the Eastern District",On the Nomination PN1203,Nomination Confirmed,95,4,0,1
Senate,113,2,40,40,2014-02-25,"Motion to Invoke Cloture on the Nomination of James Donato, of California, to be U.S. District Judge",On the Cloture Motion PN1193,Cloture Motion Agreed to,55,42,1,2
Senate,113,2,41,41,2014-02-25,"Confirmation James Donato, of California, to be U.S. District Judge for the Northern District",On the Nomination PN1193,Nomination Confirmed,90,5,0,5
