chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,115,2,1,1,2018-01-03,"Confirmation John C. Rood, of Arizona, to be Under Secretary of Defense for Policy",On the Nomination PN1098,Nomination Confirmed,81,7,0,12
Senate,115,2,3,3,2018-01-09,"Confirmation William L. Campbell, Jr., of Tennessee, to be U.S. District Judge for the Middle District of Tennessee",On the Nomination PN748,Nomination Confirmed,97,0,0,3
Senate,115,2,2,2,2018-01-08,"Motion to Invoke Cloture: William L. Campbell, Jr., to be a U.S. Circuit Judge for the Middle District of Tennessee",On the Cloture Motion PN748,Cloture Motion Agreed to,89,1,0,10
Senate,115,2,6,6,2018-01-10,"Motion to Invoke Cloture: Michael Lawrence Brown, of Georgia, to be U.S. District Judge for the Northern District of Georgia",On the Cloture Motion PN747,Cloture Motion Agreed to,97,1,0,2
Senate,115,2,5,5,2018-01-10,"Confirmation Thomas Lee Robinson Parker, of Tennessee, to be U.S. District Judge for the Western District of Tennessee",On the Nomination PN752,Nomination Confirmed,98,0,0,2
Senate,115,2,4,4,2018-01-09,Motion to Invoke Cloture: Thomas Lee Robinson Parker to be U.S. District Judge for the Western District of Tennessee,On the Cloture Motion PN752,Cloture Motion Agreed to,96,1,0,3
Senate,115,2,7,7,2018-01-11,"Confirmation Michael Lawrence Brown, of Georgia, to be United States District Judge for the Northern District of Georgia",On the Nomination PN747,Nomination Confirmed,92,0,0,8
Senate,115,2,8,8,2018-01-11,"Motion to Invoke Cloture on the Nomination of Walter David Counts, III, of Texas, to be United States District Judge for the Western District of Texas.",On the Cloture Motion PN1015,Cloture Motion Agreed to,90,1,0,9
Senate,115,2,9,9,2018-01-11,"Confirmation Walter David Counts, III, of Texas, to be United States District Judge for the Western District of Texas",On the Nomination PN1015,Nomination Confirmed,96,0,0,4
Senate,115,2,10,10,2018-01-11,Motion to Proceed to the House Message to Accompany S. 139,On the Motion to Proceed S. 139,Motion to Proceed Agreed to,68,27,0,5
