chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,118,1,2,2,2023-01-26,S.Res. 13,On the Resolution S.Res. 13,Resolution Agreed to,94,0,0,6
Senate,118,1,1,1,2023-01-23,"Confirmation: Brendan Owens, of Virginia, to be an Assistant Secretary of Defense",On the Nomination PN1,Nomination Confirmed,60,35,0,5
Senate,118,1,3,3,2023-01-30,"Confirmation: Roger Israel Zakheim, of Maryland, to be a Member of the Board of Directors of the United States Institute of Peace",On the Nomination PN62,Nomination Confirmed,84,10,0,6
Senate,118,1,6,6,2023-02-07,Motion to Invoke Cloture: DeAndrea Gist Benjamin to be U.S. Circuit Judge for the Fourth Circuit,On the Cloture Motion PN88,Cloture Motion Agreed to,54,43,0,3
Senate,118,1,5,5,2023-02-02,"Confirmation: Joseph Lee Falk, of Florida, to be a Member of the Board of Directors of the U.S. Institute of Peace",On the Nomination PN61,Nomination Confirmed,60,37,0,3
Senate,118,1,4,4,2023-02-01,S. Res. 21,On the Resolution S.Res. 21,Resolution Agreed to,97,0,0,3
Senate,118,1,7,7,2023-02-09,"Confirmation: DeAndrea Gist Benjamin, of South Carolina, to be U.S. Circuit Judge for the Fourth Circuit",On the Nomination PN88,Nomination Confirmed,53,44,0,3
Senate,118,1,9,9,2023-02-13,"Confirmation: Cindy K. Chung. of Pennsylvania, to be United States Circuit Judge for the Third Circuit.",On the Nomination PN92,Nomination Confirmed,50,44,0,6
Senate,118,1,8,8,2023-02-09,Motion to Invoke Cloture: Cindy K. Chung to be U.S. Circuit Judge for the Third Circuit,On the Cloture Motion PN92,Cloture Motion Agreed to,52,46,0,2
Senate,118,1,10,10,2023-02-13,Motion to Invoke Cloture: Gina R. Mendez-Miro to be U.S. District Judge for the District of Puerto Rico,On the Cloture Motion PN79,Cloture Motion Agreed to,52,44,0,4
Senate,118,1,11,11,2023-02-14,"Confirmation: Gina R. Mendez-Miro, of Puerto Rico, to be U.S. District Judge for the District of Puerto Rico",On the Nomination PN79,Nomination Confirmed,54,45,0,1
Senate,118,1,12,12,2023-02-14,Motion to Invoke Cloture: Lindsay C. Jenkins to be U.S. District Judge for the Northern District of Illinois,On the Cloture Motion PN74,Cloture Motion Agreed to,58,41,0,1
Senate,118,1,13,13,2023-02-14,"Confirmation: Lindsay C. Jenkins, of Illinois, to be United States District Judge for the Northern District of Illinois",On the Nomination PN74,Nomination Confirmed,59,40,0,1
Senate,118,1,14,14,2023-02-14,Motion to Invoke Cloture: Matthew L. Garcia to be U.S. District Judge for the District of New Mexico,On the Cloture Motion PN72,Cloture Motion Agreed to,54,45,0,1
Senate,118,1,15,15,2023-02-14,"Confirmation: Matthew L. Garcia, of New Mexico, to be U.S. District Judge for the District of New Mexico",On the Nomination PN72,Nomination Confirmed,53,46,0,1
Senate,118,1,16,16,2023-02-14,Motion to Invoke Cloture: Adrienne C. Nelson to be U.S. District Judge for the District of Oregon,On the Cloture Motion PN71,Cloture Motion Agreed to,53,44,0,3
Senate,118,1,18,18,2023-02-15,Motion to Invoke Cloture: Ana C. Reyes to be U.S. District Judge for the District of Columbia,On the Cloture Motion PN80,Cloture Motion Agreed to,52,47,0,1
Senate,118,1,17,17,2023-02-15,"Confirmation: Adrienne C. Nelson, of Oregon, to be U.S. District Judge for the District of Oregon",On the Nomination PN71,Nomination Confirmed,52,46,0,2
Senate,118,1,21,21,2023-02-15,Motion to Invoke Cloture: Lester Martinez Lopez to be an Assistant Secretary of Defense,On the Cloture Motion PN3,Cloture Motion Agreed to,64,33,0,3
Senate,118,1,20,20,2023-02-15,"Confirmation: Ana C. Reyes, of the District of Columbia, to be United States District Judge for the District of Columbia",On the Nomination PN80,Nomination Confirmed,51,47,0,2
Senate,118,1,19,19,2023-02-15,Motion to Invoke Cloture: Daniel J. Calabretta to be U.S. District Judge for the Eastern District of California,On the Cloture Motion PN73,Cloture Motion Agreed to,52,46,0,2
Senate,118,1,22,22,2023-02-16,"Confirmation: Daniel J. Calabretta, of California, to be U.S. District Judge for the Eastern District of California",On the Nomination PN73,Nomination Confirmed,51,45,0,4
Senate,118,1,23,23,2023-02-16,"Confirmation: Lester Martinez-Lopez, of Florida, to be an Assistant Secretary of Defense",On the Nomination PN3,Nomination Confirmed,61,34,0,5
Senate,118,1,24,24,2023-02-16,Motion to Invoke Cloture: Maria Araujo Kahn to be U.S. Circuit Judge for the Second Circuit,On the Cloture Motion PN91,Cloture Motion Agreed to,50,44,0,6
Senate,118,1,25,25,2023-02-27,Motion to Invoke Cloture: Jamar K. Walker to be U.S. District Judge for the Eastern District of Virginia,On the Cloture Motion PN78,Cloture Motion Agreed to,52,39,0,9
Senate,118,1,26,26,2023-02-28,"Confirmation: Jamar K. Walker, of Virginia, to be U.S. District Judge for the Eastern District of Virginia",On the Nomination PN78,Nomination Confirmed,52,41,0,7
Senate,118,1,27,27,2023-02-28,Motion to Invoke Cloture: Jamal N. Whitehead to be U.S. District Judge for the Western District of Washington,On the Cloture Motion PN75,Cloture Motion Agreed to,51,43,0,6
Senate,118,1,28,28,2023-02-28,"Confirmation: Jamal N. Whitehead, of Washington, to be U.S. District Judge for the Western District of Washington",On the Nomination PN75,Nomination Confirmed,51,43,0,6
Senate,118,1,29,29,2023-02-28,Motion to Invoke Cloture: Araceli Martinez-Olguin to be U.S. District Judge for the Northern District of California.,On the Cloture Motion PN76,Cloture Motion Agreed to,48,47,0,5
Senate,118,1,30,30,2023-02-28,"Confirmation: Araceli Martinez-Olguin, of California, to be U.S. District Judge for the Northern District of California",On the Nomination PN76,Nomination Confirmed,48,48,0,4
Senate,118,1,31,31,2023-02-28,Motion to Invoke Cloture: Margaret R. Guzman to be U.S. District Judge for the District of Massachusetts,On the Cloture Motion PN77,Cloture Motion Agreed to,48,48,0,4
Senate,118,1,32,32,2023-03-01,"Confirmation: Margaret R. Guzman, of Massachusetts, to be U.S. District Judge for the District of Massachusetts",On the Nomination PN77,Nomination Confirmed,48,48,0,4
Senate,118,1,33,33,2023-03-01,Motion to Invoke Cloture: Colleen R. Lawless to be U.S. District Judge for the Central District of Illinois,On the Cloture Motion PN170,Cloture Motion Agreed to,53,43,0,4
Senate,118,1,34,34,2023-03-01,Motion to Invoke Cloture: Jonathan James Canada Grey to be U.S. District Judge for the Eastern District of Michigan,On the Cloture Motion PN171,Cloture Motion Agreed to,52,44,0,4
Senate,118,1,35,35,2023-03-01,H.J. Res. 30,On the Joint Resolution H.J.Res. 30,Joint Resolution Passed,50,46,0,4
Senate,118,1,36,36,2023-03-01,"Motion to Invoke Cloture: James Edward Simmons, Jr., to be U.S. District Judge for the Southern District of California",On the Cloture Motion PN175,Cloture Motion Agreed to,51,45,0,4
Senate,118,1,37,37,2023-03-02,"Confirmation: Colleen R. Lawless, of Illinois, to be U.S. District Judge for the Central District of Illinois",On the Nomination PN170,Nomination Confirmed,51,41,0,8
Senate,118,1,38,38,2023-03-02,Motion to Invoke Cloture: Gordon P. Gallagher to be U.S. District Judge for the District of Colorado,On the Cloture Motion PN176,Cloture Motion Agreed to,50,41,0,9
Senate,118,1,39,39,2023-03-02,"Confirmation: Jonathan James Canada Grey, of Michigan, to be U.S. District Judge for the Eastern District of Michigan",On the Nomination PN171,Nomination Confirmed,49,42,0,9
Senate,118,1,41,41,2023-03-07,"Confirmation: Robert Stewart Ballou, of Virginia, to be U.S. District Judge for the Western District of Virginia",On the Nomination PN166,Nomination Confirmed,59,37,0,4
Senate,118,1,40,40,2023-03-06,Motion to Invoke Cloture: Robert Stewart Ballou to be U.S. District Judge for the Western District of Virginia,On the Cloture Motion PN166,Cloture Motion Agreed to,59,35,0,6
Senate,118,1,42,42,2023-03-07,Motion to Invoke Cloture: Andrew G. Schopler to be U.S. District Judge for the Southern District of California,On the Cloture Motion PN178,Cloture Motion Agreed to,57,39,0,4
