chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,117,1,134,134,2021-03-24,"Confirmation: Rachel Leland Levine, of Pennsylvania, to be an Assistant Secretary of Health and Human Services",On the Nomination PN121,Nomination Confirmed,52,48,0,0
Senate,117,1,136,136,2021-03-24,Motion to Invoke Cloture: Motion to Proceed to H.R. 1799,On the Cloture Motion H.R. 1799,Cloture Motion Agreed to,96,4,0,0
Senate,117,1,137,137,2021-03-25,Kennedy Amdt. No. 1401,On the Amendment S.Amdt. 1401 to H.R. 1799 (PPP Extension Act of 2021),Amendment Rejected,48,52,0,0
Senate,117,1,135,135,2021-03-24,"Confirmation: David Turk, of Maryland, to be Deputy Secretary of Energy",On the Nomination PN118,Nomination Confirmed,98,2,0,0
Senate,117,1,138,138,2021-03-25,Rubio Amdt. No. 1405,On the Amendment S.Amdt. 1405 to H.R. 1799 (PPP Extension Act of 2021),Amendment Rejected,48,52,0,0
Senate,117,1,139,139,2021-03-25,Motion to Waive All Applicable Budgetary Discipline Re: H.R. 1799,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: H.R. 1799),Motion Agreed to,64,36,0,0
Senate,117,1,140,140,2021-03-25,H.R. 1799,On Passage of the Bill H.R. 1799,Bill Passed,92,7,0,1
Senate,117,1,141,141,2021-03-25,Scott (FL) Amdt. No. 1411,On the Amendment S.Amdt. 1411 to H.R. 1868 (No short title on file),Amendment Rejected,47,50,0,3
Senate,117,1,142,142,2021-03-25,"H.R. 1868, As Amended",On Passage of the Bill H.R. 1868,Bill Passed,90,2,0,8
Senate,117,1,143,143,2021-04-12,Motion to Invoke Cloture: Polly Ellen Trottenberg to be Deputy Secretary of Transportation,On the Cloture Motion PN117,Cloture Motion Agreed to,81,14,0,5
Senate,117,1,144,144,2021-04-13,"Confirmation: Polly Ellen Trottenberg, of New York, to be Deputy Secretary of Transportation",On the Nomination PN117,Nomination Confirmed,82,15,0,3
Senate,117,1,145,145,2021-04-13,Motion to Invoke Cloture: Wendy Ruth Sherman to be Deputy Secretary of State,On the Cloture Motion PN79-12,Cloture Motion Agreed to,55,42,0,3
Senate,117,1,146,146,2021-04-13,"Confirmation: Wendy Ruth Sherman, of Maryland, to be Deputy Secretary of State",On the Nomination PN79-12,Nomination Confirmed,56,42,0,2
Senate,117,1,147,147,2021-04-13,Motion to Invoke Cloture: Gary Gensler to be a Member of the Securities and Exchange Commission,On the Cloture Motion PN80,Cloture Motion Agreed to,53,45,0,2
Senate,117,1,149,149,2021-04-14,Motion to Invoke Cloture: Brenda Mallory to be a Member of the Council on Environmental Quality,On the Cloture Motion PN79-7,Cloture Motion Agreed to,53,45,0,2
Senate,117,1,148,148,2021-04-14,"Confirmation: Gary Gensler, of Maryland, to be a Member of the Securities and Exchange Commission",On the Nomination PN80,Nomination Confirmed,53,45,0,2
Senate,117,1,150,150,2021-04-14,"Confirmation: Brenda Mallory, of Maryland, to be a Member of the Council on Environmental Quality",On the Nomination PN79-7,Nomination Confirmed,53,45,0,2
Senate,117,1,152,152,2021-04-15,Motion to Proceed to Executive Session,On the Motion to Proceed S. 937,Motion to Proceed Agreed to,49,45,0,6
Senate,117,1,151,151,2021-04-14,Motion to Invoke Cloture Re: Motion to Proceed to S. 937,On Cloture on the Motion to Proceed S. 937,Cloture on the Motion to Proceed Agreed to,92,6,0,2
Senate,117,1,153,153,2021-04-15,Motion to Discharge the Nomination of Vanita Gupta from the Committee on the Judiciary,On the Motion to Discharge PN79-4,Motion to Discharge Agreed to,49,34,0,17
Senate,117,1,154,154,2021-04-19,Motion to Invoke Cloture: Lisa O. Monaco to be Deputy Attorney General,On the Cloture Motion PN79-10,Cloture Motion Agreed to,94,3,0,3
Senate,117,1,155,155,2021-04-19,Motion to Proceed to Executive Session to Consider Vanita Gupta to be Associate Attorney General,On the Motion to Proceed PN79-4,Motion to Proceed Agreed to,50,49,0,1
Senate,117,1,156,156,2021-04-20,Motion to Invoke Cloture: Gary Gensler to be a Member of the Securities and Exchange Commission,On the Cloture Motion PN81,Cloture Motion Agreed to,54,44,1,1
Senate,117,1,157,157,2021-04-20,"Confirmation: Gary Gensler, of Maryland, to be a Member of the Securities and Exchange Commission",On the Nomination PN81,Nomination Confirmed,54,45,1,0
Senate,117,1,158,158,2021-04-20,"Confirmation: Lisa O. Monaco, of the District of Columbia, to be Deputy Attorney General",On the Nomination PN79-10,Nomination Confirmed,98,2,0,0
Senate,117,1,159,159,2021-04-21,Motion to Invoke Cloture: Vanita Gupta to be Associate Attorney General,On the Cloture Motion PN79-4,Cloture Motion Agreed to,51,49,0,0
Senate,117,1,160,160,2021-04-21,"Confirmation: Vanita Gupta, of Virginia, to be Associate Attorney General",On the Nomination PN79-4,Nomination Confirmed,51,49,0,0
