chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,114,1,3,3,2015-01-12,Motion to Invoke Cloture on the Motion to Proceed to S.1,On Cloture on the Motion to Proceed S. 1,Cloture on the Motion to Proceed Agreed to,63,32,0,5
Senate,114,1,2,2,2015-01-08,H.R. 26,On Passage of the Bill H.R. 26,Bill Passed,93,4,0,3
Senate,114,1,1,1,2015-01-08,Warren Amdt. No. 1,On the Amendment S.Amdt. 1 to H.R. 26 (Terrorism Risk Insurance Program Reauthorization Act of 2015),Amendment Rejected,31,66,0,3
Senate,114,1,6,6,2015-01-20,Portman Amdt. No. 3 As Modified,On the Amendment S.Amdt. 3 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Agreed to,94,5,0,1
Senate,114,1,4,4,2015-01-20,Motion to Table Markey Amdt. No. 13,On the Motion to Table S.Amdt. 13 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Agreed to,57,42,0,1
Senate,114,1,5,5,2015-01-20,Motion to Table Franken Amdt. No. 17,On the Motion to Table S.Amdt. 17 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Agreed to,53,46,0,1
Senate,114,1,8,8,2015-01-21,Durbin Amdt. No. 69,On the Amendment S.Amdt. 69 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,41,58,0,1
Senate,114,1,7,7,2015-01-21,Lee Amdt. No. 33,On the Amendment S.Amdt. 33 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,54,45,0,1
Senate,114,1,9,9,2015-01-21,Toomey Amdt. No. 41,On the Amendment S.Amdt. 41 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,54,45,0,1
Senate,114,1,11,11,2015-01-21,"Hoeven Amdt. No. 87, As Modified",On the Amendment S.Amdt. 87 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,59,40,0,1
Senate,114,1,12,12,2015-01-21,Schatz Amdt. No. 58,On the Amendment S.Amdt. 58 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,50,49,0,1
Senate,114,1,10,10,2015-01-21,Whitehouse Amdt. No. 29,On the Amendment S.Amdt. 29 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Agreed to,98,1,0,1
Senate,114,1,13,13,2015-01-22,Boxer Amdt. No. 113,On the Amendment S.Amdt. 113 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,55,44,0,1
Senate,114,1,14,14,2015-01-22,"Fischer Amdt. No. 18, As Modified",On the Amendment S.Amdt. 18 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,54,45,0,1
Senate,114,1,15,15,2015-01-22,Motion to Table Manchin Amdt. No. 99,On the Motion to Table S.Amdt. 99 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Agreed to,53,46,0,1
Senate,114,1,16,16,2015-01-22,Motion to Table Sanders Amdt. No. 24,On the Motion to Table S.Amdt. 24 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Agreed to,56,42,0,2
Senate,114,1,17,17,2015-01-22,Lee Amdt. No. 71,On the Amendment S.Amdt. 71 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Amendment Rejected,51,47,0,2
