chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,114,2,1,1,2016-01-11,"Nomination Luis Felipe Restrepo, of Pennsylvania, to be U.S. Circuit Judge for the Third Circuit",On the Nomination PN11,Nomination Confirmed,82,6,0,12
Senate,114,2,2,2,2016-01-12,Motion to Invoke Cloture on the Motion to Proceed to S. 2232,On Cloture on the Motion to Proceed S. 2232,Cloture on the Motion to Proceed Rejected,53,44,0,3
Senate,114,2,3,3,2016-01-19,"Confirmation Wilhelmina Marie Wright, of Minnesota, to be U.S. District Judge",On the Nomination PN367,Nomination Confirmed,58,36,0,6
Senate,114,2,6,6,2016-01-27,"Confirmation John Michael Vazquez, of New Jersey, to be U.S. District Judge for the District of New Jersey",On the Nomination PN326,Nomination Confirmed,84,2,0,14
Senate,114,2,4,4,2016-01-20,Motion to Invoke Cloture on the Motion to Proceed to H.R. 4038 ,On the Cloture Motion H.R. 4038,Cloture Motion Rejected,55,43,0,2
Senate,114,2,5,5,2016-01-21,Motion to Invoke Cloture on the Veto Message to Accompany S.J. Res. 22,On the Cloture Motion S.J.Res. 22,Cloture Motion Rejected,52,40,0,8
Senate,114,2,7,7,2016-01-28,Crapo Amdt. No. 3021,On the Amendment S.Amdt. 3021 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Agreed to,87,4,0,9
Senate,114,2,8,8,2016-01-28,Markey Amdt. No. 2982,On the Amendment S.Amdt. 2982 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Agreed to,62,29,0,9
Senate,114,2,9,9,2016-01-28,Schatz Amdt. No. 2965,On the Amendment S.Amdt. 2965 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Agreed to,55,37,0,8
Senate,114,2,10,10,2016-02-02,Lee Amdt. No. 3023,On the Amendment S.Amdt. 3023 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Rejected,47,48,0,5
Senate,114,2,11,11,2016-02-02,Franken Amdt. No. 3115,On the Amendment S.Amdt. 3115 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Rejected,43,52,0,5
Senate,114,2,12,12,2016-02-02,Barrasso Amdt. No. 3030,On the Amendment S.Amdt. 3030 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Rejected,52,43,0,5
Senate,114,2,13,13,2016-02-02,Sullivan Amdt. No. 2996,On the Amendment S.Amdt. 2996 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Rejected,49,46,0,5
Senate,114,2,14,14,2016-02-02,Schatz Amdt. No. 3176,On the Amendment S.Amdt. 3176 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Rejected,45,50,0,5
Senate,114,2,15,15,2016-02-02,Whitehouse Amdt. No. 3125,On the Amendment S.Amdt. 3125 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Amendment Rejected,43,52,0,5
Senate,114,2,16,16,2016-02-04,Motion to Invoke Cloture on Murkowski Amdt No. 2953,On the Cloture Motion S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015),Cloture Motion Rejected,46,50,1,3
Senate,114,2,17,17,2016-02-04,Motion to Invoke Cloture on S. 2012,On the Cloture Motion S. 2012,Cloture Motion Rejected,43,54,0,3
Senate,114,2,18,18,2016-02-08,"Confirmation Rebecca Goodgame Ebinger, of Iowa, to be U.S. District Judge for the Southern District of Iowa",On the Nomination PN831,Nomination Confirmed,83,0,0,17
Senate,114,2,19,19,2016-02-09,"Confirmation Scot Alan Marciel, of California, to be Ambassador to the Union of Burma",On the Nomination PN915,Nomination Confirmed,90,0,0,10
Senate,114,2,20,20,2016-02-10,H.R. 757 As Amended,On Passage of the Bill H.R. 757,Bill Passed,96,0,0,4
Senate,114,2,21,21,2016-02-11,Motion to Invoke Cloture on the Conference Report to Accompany H.R. 644,On the Cloture Motion H.R. 644,Cloture Motion Agreed to,73,22,0,5
Senate,114,2,22,22,2016-02-11,Conference Report to Accompany H.R. 644,On the Conference Report H.R. 644,Conference Report Agreed to,75,20,0,5
Senate,114,2,23,23,2016-02-11,"Confirmation Leonard Terry Strand, of South Dakota, to be U.S. District Judge for the Northern District of Iowa",On the Nomination PN675,Nomination Confirmed,93,0,0,7
Senate,114,2,24,24,2016-02-22,Motion to Invoke Cloture on the Nomination of Robert McKinnon Califf to be Commissioner of Food and Drugs,On the Cloture Motion PN849,Cloture Motion Agreed to,80,6,0,14
