chamber,roll_number,member_id,legislator_name,party,state,vote
Senate,3,S289,Alexander (R-TN),R,TN,Yes
Senate,3,S340,Ayotte (R-NH),R,NH,Yes
Senate,3,S354,Baldwin (D-WI),D,WI,No
Senate,3,S317,Barrasso (R-WY),R,WY,Yes
Senate,3,S330,Bennet (D-CO),D,CO,Yes
Senate,3,S341,Blumenthal (D-CT),D,CT,No
Senate,3,S342,Blunt (R-MO),R,MO,Yes
Senate,3,S370,Booker (D-NJ),D,NJ,No
Senate,3,S343,Boozman (R-AR),R,AR,Yes
Senate,3,S223,Boxer (D-CA),D,CA,No
Senate,3,S307,Brown (D-OH),D,OH,Not Voting
Senate,3,S300,Burr (R-NC),R,NC,Yes
Senate,3,S275,Cantwell (D-WA),D,WA,No
Senate,3,S372,Capito (R-WV),R,WV,Yes
Senate,3,S308,Cardin (D-MD),D,MD,No
Senate,3,S277,Carper (D-DE),D,DE,Yes
Senate,3,S309,Casey (D-PA),D,PA,Yes
Senate,3,S373,Cassidy (R-LA),R,LA,Not Voting
Senate,3,S212,Coats (R-IN),R,IN,Yes
Senate,3,S136,Cochran (R-MS),R,MS,Yes
Senate,3,S252,Collins (R-ME),R,ME,Yes
Senate,3,S337,Coons (D-DE),D,DE,No
Senate,3,S310,Corker (R-TN),R,TN,Yes
Senate,3,S287,Cornyn (R-TX),R,TX,Yes
Senate,3,S374,Cotton (R-AR),R,AR,Yes
Senate,3,S266,Crapo (R-ID),R,ID,Yes
Senate,3,S355,Cruz (R-TX),R,TX,Yes
Senate,3,S375,Daines (R-MT),R,MT,Yes
Senate,3,S356,Donnelly (D-IN),D,IN,Yes
Senate,3,S253,Durbin (D-IL),D,IL,No
Senate,3,S254,Enzi (R-WY),R,WY,Yes
Senate,3,S376,Ernst (R-IA),R,IA,Yes
Senate,3,S221,Feinstein (D-CA),D,CA,No
Senate,3,S357,Fischer (R-NE),R,NE,Yes
Senate,3,S358,Flake (R-AZ),R,AZ,Yes
Senate,3,S332,Franken (D-MN),D,MN,No
Senate,3,S377,Gardner (R-CO),R,CO,Yes
Senate,3,S331,Gillibrand (D-NY),D,NY,No
Senate,3,S293,Graham (R-SC),R,SC,Yes
