chamber,roll_number,member_id,legislator_name,party,state,vote
Senate,1,S289,Alexander (R-TN),R,TN,Yes
Senate,1,S340,Ayotte (R-NH),R,NH,Yes
Senate,1,S354,Baldwin (D-WI),D,WI,Yes
Senate,1,S317,Barrasso (R-WY),R,WY,Yes
Senate,1,S330,Bennet (D-CO),D,CO,Yes
Senate,1,S341,Blumenthal (D-CT),D,CT,Yes
Senate,1,S342,Blunt (R-MO),R,MO,No
Senate,1,S370,Booker (D-NJ),D,NJ,Yes
Senate,1,S343,Boozman (R-AR),R,AR,Yes
Senate,1,S223,Boxer (D-CA),D,CA,Yes
Senate,1,S307,Brown (D-OH),D,OH,Yes
Senate,1,S300,Burr (R-NC),R,NC,Yes
Senate,1,S275,Cantwell (D-WA),D,WA,Yes
Senate,1,S372,Capito (R-WV),R,WV,Yes
Senate,1,S308,Cardin (D-MD),D,MD,Yes
Senate,1,S277,Carper (D-DE),D,DE,Yes
Senate,1,S309,Casey (D-PA),D,PA,Yes
Senate,1,S373,Cassidy (R-LA),R,LA,Not Voting
Senate,1,S212,Coats (R-IN),R,IN,Not Voting
Senate,1,S136,Cochran (R-MS),R,MS,Yes
Senate,1,S252,Collins (R-ME),R,ME,Yes
Senate,1,S337,Coons (D-DE),D,DE,Yes
Senate,1,S310,Corker (R-TN),R,TN,Yes
Senate,1,S287,Cornyn (R-TX),R,TX,Yes
Senate,1,S374,Cotton (R-AR),R,AR,Yes
Senate,1,S266,Crapo (R-ID),R,ID,Not Voting
Senate,1,S355,Cruz (R-TX),R,TX,Not Voting
Senate,1,S375,Daines (R-MT),R,MT,Yes
Senate,1,S356,Donnelly (D-IN),D,IN,Yes
Senate,1,S253,Durbin (D-IL),D,IL,Yes
Senate,1,S254,Enzi (R-WY),R,WY,Yes
Senate,1,S376,Ernst (R-IA),R,IA,Yes
Senate,1,S221,Feinstein (D-CA),D,CA,Yes
Senate,1,S357,Fischer (R-NE),R,NE,Yes
Senate,1,S358,Flake (R-AZ),R,AZ,Yes
Senate,1,S332,Franken (D-MN),D,MN,Not Voting
Senate,1,S377,Gardner (R-CO),R,CO,Yes
Senate,1,S331,Gillibrand (D-NY),D,NY,Yes
Senate,1,S293,Graham (R-SC),R,SC,Not Voting
Senate,1,S153,Grassley (R-IA),R,IA,Yes
Senate,1,S118,Hatch (R-UT),R,UT,Yes
Senate,1,S359,Heinrich (D-NM),D,NM,Yes
Senate,1,S360,Heitkamp (D-ND),D,ND,Yes
Senate,1,S352,Heller (R-NV),R,NV,Yes
Senate,1,S361,Hirono (D-HI),D,HI,Yes
Senate,1,S344,Hoeven (R-ND),R,ND,Yes
