chamber,roll_number,member_id,legislator_name,party,state,vote
Senate,2,S354,Baldwin (D-WI),D,WI,Yes
Senate,2,S317,Barrasso (R-WY),R,WY,Yes
Senate,2,S330,Bennet (D-CO),D,CO,Yes
Senate,2,S396,Blackburn (R-TN),R,TN,Yes
Senate,2,S341,Blumenthal (D-CT),D,CT,Yes
Senate,2,S370,Booker (D-NJ),D,NJ,Yes
Senate,2,S343,Boozman (R-AR),R,AR,Yes
Senate,2,S397,Braun (R-IN),R,IN,Yes
Senate,2,S416,Britt (R-AL),R,AL,Yes
Senate,2,S307,Brown (D-OH),D,OH,Yes
Senate,2,S417,Budd (R-NC),R,NC,Yes
Senate,2,S275,Cantwell (D-WA),D,WA,Yes
Senate,2,S372,Capito (R-WV),R,WV,Yes
Senate,2,S308,Cardin (D-MD),D,MD,Yes
Senate,2,S277,Carper (D-DE),D,DE,Yes
Senate,2,S309,Casey (D-PA),D,PA,Yes
Senate,2,S373,Cassidy (R-LA),R,LA,Yes
Senate,2,S252,Collins (R-ME),R,ME,Yes
Senate,2,S337,Coons (D-DE),D,DE,Yes
Senate,2,S287,Cornyn (R-TX),R,TX,Yes
Senate,2,S385,Cortez Masto (D-NV),D,NV,Yes
Senate,2,S374,Cotton (R-AR),R,AR,Yes
Senate,2,S398,Cramer (R-ND),R,ND,Yes
Senate,2,S266,Crapo (R-ID),R,ID,Yes
Senate,2,S355,Cruz (R-TX),R,TX,Yes
Senate,2,S375,Daines (R-MT),R,MT,Yes
Senate,2,S386,Duckworth (D-IL),D,IL,Yes
Senate,2,S253,Durbin (D-IL),D,IL,Yes
Senate,2,S376,Ernst (R-IA),R,IA,Yes
Senate,2,S221,Feinstein (D-CA),D,CA,Not Voting
Senate,2,S418,Fetterman (D-PA),D,PA,Yes
Senate,2,S357,Fischer (R-NE),R,NE,Yes
Senate,2,S331,Gillibrand (D-NY),D,NY,Yes
Senate,2,S293,Graham (R-SC),R,SC,Not Voting
Senate,2,S153,Grassley (R-IA),R,IA,Yes
Senate,2,S407,Hagerty (R-TN),R,TN,Yes
Senate,2,S388,Hassan (D-NH),D,NH,Yes
Senate,2,S399,Hawley (R-MO),R,MO,Yes
Senate,2,S359,Heinrich (D-NM),D,NM,Yes
Senate,2,S408,Hickenlooper (D-CO),D,CO,Yes
Senate,2,S361,Hirono (D-HI),D,HI,Yes
Senate,2,S344,Hoeven (R-ND),R,ND,Yes
Senate,2,S395,Hyde-Smith (R-MS),R,MS,Yes
Senate,2,S345,Johnson (R-WI),R,WI,Not Voting
Senate,2,S362,Kaine (D-VA),D,VA,Yes
Senate,2,S406,Kelly (D-AZ),D,AZ,Yes
Senate,2,S389,Kennedy (R-LA),R,LA,Yes
Senate,2,S363,King (I-ME),I,ME,Yes
Senate,2,S311,Klobuchar (D-MN),D,MN,Yes
Senate,2,S378,Lankford (R-OK),R,OK,Yes
Senate,2,S346,Lee (R-UT),R,UT,Yes
Senate,2,S409,Lujan (D-NM),D,NM,Yes
Senate,2,S410,Lummis (R-WY),R,WY,Yes
Senate,2,S338,Manchin (D-WV),D,WV,Yes
Senate,2,S369,Markey (D-MA),D,MA,Yes
Senate,2,S411,Marshall (R-KS),R,KS,Yes
Senate,2,S174,McConnell (R-KY),R,KY,Yes
Senate,2,S306,Menendez (D-NJ),D,NJ,Yes
Senate,2,S322,Merkley (D-OR),D,OR,Yes
Senate,2,S347,Moran (R-KS),R,KS,Not Voting
Senate,2,S419,Mullin (R-OK),R,OK,Yes
Senate,2,S288,Murkowski (R-AK),R,AK,Yes
Senate,2,S364,Murphy (D-CT),D,CT,Yes
Senate,2,S229,Murray (D-WA),D,WA,Yes
Senate,2,S414,Ossoff (D-GA),D,GA,Yes
Senate,2,S413,Padilla (D-CA),D,CA,Yes
Senate,2,S348,Paul (R-KY),R,KY,Not Voting
Senate,2,S380,Peters (D-MI),D,MI,Yes
