chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,118,1,1,1,2023-01-03,,Call By States,Passed,0,0,434,1
House,118,1,2,2,2023-01-03,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,3,3,2023-01-03,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,4,4,2023-01-03,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,5,5,2023-01-04,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,6,6,2023-01-04,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,7,7,2023-01-04,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,8,8,2023-01-04,,On Motion to Adjourn,Passed,216,214,0,4
House,118,1,9,9,2023-01-05,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,10,10,2023-01-05,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,11,11,2023-01-05,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,12,12,2023-01-05,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,13,13,2023-01-05,,Election of the Speaker,Jeffries,0,0,0,0
House,118,1,14,14,2023-01-05,,On Motion to Adjourn,Passed,219,213,0,2
House,118,1,15,15,2023-01-06,,Election of the Speaker,McCarthy,0,0,0,0
House,118,1,16,16,2023-01-06,,Election of the Speaker,McCarthy,0,0,0,0
House,118,1,17,17,2023-01-06,,On Motion to Adjourn,Passed,220,212,0,2
House,118,1,18,18,2023-01-06,,Election of the Speaker,McCarthy,0,0,0,0
House,118,1,19,19,2023-01-06,,On Motion to Adjourn,Failed,155,279,0,0
House,118,1,20,20,2023-01-07,,Election of the Speaker,McCarthy,0,0,0,0
House,118,1,21,21,2023-01-09,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Ordering the Previous Question,Passed,211,205,0,18
House,118,1,22,22,2023-01-09,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Motion to Commit,Failed,210,220,0,4
House,118,1,23,23,2023-01-09,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",On Agreeing to the Resolution,Passed,220,213,0,1
House,118,1,24,24,2023-01-09,Family and Small Business Taxpayer Protection Act,On Motion to Recommit,Failed,208,221,0,5
House,118,1,25,25,2023-01-09,Family and Small Business Taxpayer Protection Act,On Passage,Passed,221,210,0,3
House,118,1,26,26,2023-01-10,Establishing the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,On Agreeing to the Resolution,Passed,365,65,0,4
House,118,1,27,27,2023-01-10,Establishing a Select Subcommittee on the Weaponization of the Federal Government as a select investigative subcommittee of the Committee on the Judiciary,On Agreeing to the Resolution,Passed,221,211,0,2
House,118,1,28,28,2023-01-11,Born-Alive Abortion Survivors Protection Act,On Motion to Recommit,Failed,212,219,0,3
House,118,1,29,29,2023-01-11,Born-Alive Abortion Survivors Protection Act,On Passage,Passed,220,210,1,3
House,118,1,30,30,2023-01-11,"Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches",On Agreeing to the Resolution,Passed,222,209,0,3
House,118,1,31,31,2023-01-12,Protecting Americaâs Strategic Petroleum Reserve from China Act,On Passage,Passed,331,97,0,6
House,118,1,32,32,2023-01-24,Chance to Compete Act of 2023,"On Motion to Suspend the Rules and Pass, as Amended",Passed,422,2,0,10
House,118,1,33,33,2023-01-24,Settlement Agreement Information Database Act of 2023,"On Motion to Suspend the Rules and Pass, as Amended",Passed,425,0,0,9
House,118,1,34,34,2023-01-25,NOTAM Improvement Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,424,4,0,6
House,118,1,35,35,2023-01-25,Investing in Main Street Act,On Motion to Suspend the Rules and Pass,Passed,411,13,0,10
House,118,1,36,36,2023-01-25,"Commending the bravery, courage, and resolve of the women and men of Iran demonstrating in more than 133 cities and risking their safety to speak out against the Iranian regimeâs human rights abuses","On Motion to Suspend the Rules and Agree to the Resolution, as Amended",Passed,420,1,0,13
House,118,1,37,37,2023-01-26,,On Agreeing to the Amendment,Failed,205,220,0,15
House,118,1,38,38,2023-01-26,,On Agreeing to the Amendment,Failed,213,218,0,9
House,118,1,39,39,2023-01-26,,On Agreeing to the Amendment,Failed,214,219,0,7
House,118,1,40,40,2023-01-26,,On Agreeing to the Amendment,Failed,214,219,0,7
House,118,1,41,41,2023-01-26,,On Agreeing to the Amendment,Agreed to,389,42,0,8
House,118,1,42,42,2023-01-26,,On Agreeing to the Amendment,Failed,14,418,0,7
House,118,1,43,43,2023-01-26,,On Agreeing to the Amendment,Failed,213,218,0,8
