chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,113,2,1,1,2014-01-07,,Call of the House,Passed,0,0,316,115
House,113,2,2,2,2014-01-08,To amend the Clean Air Act to remove the requirement for dealer certification of new light-duty motor vehicles,On Motion to Suspend the Rules and Pass,Passed,405,0,0,26
House,113,2,3,3,2014-01-08,Poison Center Network Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,388,18,0,26
House,113,2,4,4,2014-01-08,Transportation Reports Elimination Act of 2013,On Motion to Suspend the Rules and Pass,Passed,406,0,0,26
House,113,2,5,5,2014-01-09,"Providing for consideration of H.R. 2279, Reducing Excessive Deadline Obligations Act of 2013; consideration of H.R. 3362, to require transparency in the operation of Health Benefit Exchanges; and consideration of H.R. 3811, to require notification of breaches of personal information through Health Benefit Exchanges",On Ordering the Previous Question,Passed,226,191,0,15
House,113,2,6,6,2014-01-09,"Providing for consideration of H.R. 2279, Reducing Excessive Deadline Obligations Act of 2013; consideration of H.R. 3362, to require transparency in the operation of Health Benefit Exchanges; and consideration of H.R. 3811, to require notification of breaches of personal information through Health Benefit Exchanges",On Agreeing to the Resolution,Passed,223,186,0,23
House,113,2,7,7,2014-01-09,,On Agreeing to the Amendment,Failed,189,228,0,15
House,113,2,8,8,2014-01-09,,On Agreeing to the Amendment,Failed,190,227,0,15
House,113,2,9,9,2014-01-09,Reducing Excessive Deadline Obligations Act of 2013,On Motion to Recommit with Instructions,Failed,188,225,0,19
House,113,2,10,10,2014-01-09,Reducing Excessive Deadline Obligations Act of 2013,On Passage,Passed,225,188,0,19
House,113,2,11,11,2014-01-10,Health Exchange Security and Transparency Act,On Passage,Passed,291,122,0,19
House,113,2,12,12,2014-01-13,"To revise the boundaries of the Gettysburg National Military Park to include the Gettysburg Train Station and certain land along Plum Run in Cumberland Township, to limit the means by which property within such revised boundaries may be acquired, and for other purposes",On Motion to Suspend the Rules and Pass,Passed,396,0,0,36
House,113,2,13,13,2014-01-13,"To authorize the Peace Corps Commemorative Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes",On Motion to Suspend the Rules and Pass,Passed,387,7,0,38
