chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,117,1,2,2,2021-01-03,,Election of the Speaker,Pelosi,0,0,0,0
House,117,1,1,1,2021-01-03,,Call By States,Passed,0,0,427,7
House,117,1,3,3,2021-01-03,Authorizing and directing the Speaker to administer the oath of office,On Agreeing to the Resolution,Passed,371,2,0,59
House,117,1,4,4,2021-01-04,"Adopting the Rules of the House of Representatives for the One Hundred Seventeenth Congress, and for other purposes",On Motion to Table the Motion to Postpone to a Day Certain,Passed,214,204,0,11
House,117,1,5,5,2021-01-04,"Adopting the Rules of the House of Representatives for the One Hundred Seventeenth Congress, and for other purposes",Table Motion to Refer,Passed,214,196,0,19
House,117,1,6,6,2021-01-04,"Adopting the Rules of the House of Representatives for the One Hundred Seventeenth Congress, and for other purposes",On Ordering the Previous Question,Passed,217,204,0,8
House,117,1,7,7,2021-01-04,"Adopting the Rules of the House of Representatives for the One Hundred Seventeenth Congress, and for other purposes",On Motion to Commit with Instructions,Failed,203,217,0,9
House,117,1,8,8,2021-01-04,"Adopting the Rules of the House of Representatives for the One Hundred Seventeenth Congress, and for other purposes",On Agreeing to the Resolution,Passed,217,206,0,6
House,117,1,9,9,2021-01-05,Congressional Budget Justification Transparency Act of 2021,On Motion to Suspend the Rules and Pass,Passed,412,2,0,16
House,117,1,10,10,2021-01-06,,On Agreeing to the Objection,Failed,121,303,0,7
House,117,1,11,11,2021-01-07,,On Agreeing to the Objection,Failed,138,282,0,11
House,117,1,12,12,2021-01-12,Providing for consideration of H. Res. 21,On Ordering the Previous Question,Passed,219,206,0,7
House,117,1,13,13,2021-01-12,Providing for consideration of H. Res. 21,On Agreeing to the Resolution,Passed,222,204,0,7
House,117,1,14,14,2021-01-12,Calling on Vice President Michael R. Pence to convene and mobilize the principal officers of the executive departments of the Cabinet to activate section 4 of the 25th Amendment to declare President Donald J. Trump incapable of executing the duties of his office and to immediately exercise powers as acting President,On Agreeing to the Resolution,Passed,223,205,0,5
House,117,1,15,15,2021-01-13,"Providing for consideration of the resolution (H. Res. 24) impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors",On Ordering the Previous Question,Passed,221,205,0,6
House,117,1,17,17,2021-01-13,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors",On Agreeing to the Resolution,Passed,232,197,0,4
House,117,1,16,16,2021-01-13,"Providing for consideration of the resolution (H. Res. 24) impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors",On Agreeing to the Resolution,Passed,221,203,0,8
House,117,1,18,18,2021-01-21,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,On Passage,Passed,326,78,0,27
House,117,1,20,20,2021-02-02,Providing for consideration of the bill (H.R. 447) National Apprenticeship Act and providing for consideration of the concurrent resolution (H.Con.Res. 11) establishing the congressional budget for the United States Government for FY 2021 and setting forth the appropriate budgetary levels for FY 2022 through 2030,On Agreeing to the Resolution,Passed,216,210,0,6
House,117,1,19,19,2021-02-02,Providing for consideration of the bill (H.R. 447) National Apprenticeship Act and providing for consideration of the concurrent resolution (H.Con.Res. 11) establishing the congressional budget for the United States Government for FY 2021 and setting forth the appropriate budgetary levels for FY 2022 through 2030,On Ordering the Previous Question,Passed,219,207,0,5
House,117,1,21,21,2021-02-03,Establishing the congressional budget for the United States Government for fiscal year 2021 and setting forth the appropriate budgetary levels for fiscal years 2022 through 2030,On Agreeing to the Resolution,Passed,218,212,0,1
House,117,1,22,22,2021-02-04,Providing for consideration of the resolution (H.Res. 72) removing a certain Member from certain standing committees of the House of Representatives,On Ordering the Previous Question,Passed,218,209,0,4
House,117,1,23,23,2021-02-04,Providing for consideration of the resolution (H.Res. 72) removing a certain Member from certain standing committees of the House of Representatives,On Agreeing to the Resolution,Passed,218,210,0,3
House,117,1,24,24,2021-02-04,,On Motion to Adjourn,Failed,205,218,0,8
House,117,1,25,25,2021-02-04,Removing a certain Member from certain standing committees of the House of Representatives,On Agreeing to the Resolution,Passed,230,199,0,2
House,117,1,26,26,2021-02-05,Providing for the adoption of the concurrent resolution (S. Con. Res. 5) setting forth the congressional budget for the United States Government for fiscal year 2021 and setting forth the appropriate budgetary levels for fiscal years 2022 through 2030,On Ordering the Previous Question,Passed,220,210,0,1
House,117,1,27,27,2021-02-05,Providing for the adoption of the concurrent resolution (S. Con. Res. 5) setting forth the congressional budget for the United States Government for fiscal year 2021 and setting forth the appropriate budgetary levels for fiscal years 2022 through 2030,On Agreeing to the Resolution,Passed,219,209,0,3
House,117,1,28,28,2021-02-05,,On Agreeing to the Amendment,Agreed to,243,178,0,10
House,117,1,29,29,2021-02-05,,On Agreeing to the Amendment,Failed,186,236,0,9
House,117,1,30,30,2021-02-05,,On Agreeing to the Amendment,Failed,175,245,0,11
House,117,1,32,32,2021-02-23,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the âColonel Carlyle âSmittyâ Harris Post Officeâ",On Motion to Suspend the Rules and Pass,Passed,406,15,0,10
House,117,1,31,31,2021-02-05,National Apprenticeship Act,On Passage,Passed,247,173,0,11
House,117,1,33,33,2021-02-24,,On Motion to Adjourn,Failed,202,214,0,15
House,117,1,35,35,2021-02-24,"Providing for consideration of the bill (H.R. 803) the Colorado Wilderness Act, and providing for consideration of the bill (H.R. 5) the Equality Act",On Agreeing to the Resolution,Passed,218,208,0,5
House,117,1,34,34,2021-02-24,"Providing for consideration of the bill (H.R. 803) the Colorado Wilderness Act, and providing for consideration of the bill (H.R. 5) the Equality Act",On Ordering the Previous Question,Passed,219,211,0,1
House,117,1,36,36,2021-02-24,Effective Assistance of Counsel in the Digital Era Act,On Motion to Suspend the Rules and Pass,Passed,414,11,0,6
House,117,1,37,37,2021-02-24,Puerto Rico Recovery Accuracy in Disclosures Act,On Motion to Suspend the Rules and Pass,Passed,429,0,0,2
House,117,1,38,38,2021-02-25,,On Motion to Adjourn,Failed,199,219,0,13
House,117,1,39,39,2021-02-25,Equality Act,On Passage,Passed,224,206,0,2
