chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,116,2,1,1,2020-01-07,,Call of the House,Passed,0,0,384,47
House,116,2,2,2,2020-01-08,"Providing for consideration of the bill (H.R. 535) to require the Administrator of the Environmental Protection Agency to designate per- and polyfluoroalkyl substances as hazardous substances under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980",On Ordering the Previous Question,Passed,225,193,0,12
House,116,2,3,3,2020-01-08,"Providing for consideration of the bill (H.R. 535) to require the Administrator of the Environmental Protection Agency to designate per- and polyfluoroalkyl substances as hazardous substances under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980",On Agreeing to the Resolution,Passed,217,199,0,14
House,116,2,4,4,2020-01-08,Secure 5G and Beyond Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,413,3,0,14
House,116,2,5,5,2020-01-09,"Providing for consideration of H. Con. Res. 83, directing the President pursuant to section 5(c) of the War Powers Resolution to terminate the use of United States Armed Forces to engage in hostilities in or against Iran",On Ordering the Previous Question,Passed,227,191,0,12
House,116,2,6,6,2020-01-09,"Providing for consideration of H. Con. Res. 83, directing the President pursuant to section 5(c) of the War Powers Resolution to terminate the use of United States Armed Forces to engage in hostilities in or against Iran",On Agreeing to the Resolution,Passed,226,193,0,11
House,116,2,7,7,2020-01-09,Directing the President pursuant to section 5(c) of the War Powers Resolution to terminate the use of United States Armed Forces to engage in hostilities in or against Iran,On Agreeing to the Resolution,Passed,224,194,0,13
House,116,2,8,8,2020-01-09,Prison to Proprietorship Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,370,41,0,19
House,116,2,9,9,2020-01-10,,On Agreeing to the Amendment,Failed,161,247,0,28
House,116,2,10,10,2020-01-10,,On Agreeing to the Amendment,Failed,170,239,0,27
House,116,2,11,11,2020-01-10,,On Agreeing to the Amendment,Agreed to,242,168,0,26
House,116,2,12,12,2020-01-10,PFAS Action Act,On Motion to Recommit with Instructions,Failed,187,219,0,24
House,116,2,13,13,2020-01-10,PFAS Action Act,On Passage,Passed,247,159,0,24
House,116,2,14,14,2020-01-13,8-K Trading Gap Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,384,7,0,39
House,116,2,15,15,2020-01-13,Veteran HOUSE Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,362,31,0,37
House,116,2,16,16,2020-01-14,"Providing for consideration of H.R. 1230, the Protecting Older Workers Against Discrimination Act; H. J. Res. 76, providing for congressional disapproval under chaper 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to “Borrower Defense Institutional Accountability”",On Ordering the Previous Question,Passed,226,191,0,12
House,116,2,17,17,2020-01-14,"Providing for consideration of H.R. 1230, the Protecting Older Workers Against Discrimination Act; H. J. Res. 76, providing for congressional disapproval under chaper 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to “Borrower Defense Institutional Accountability”",On Agreeing to the Resolution,Passed,216,200,0,13
House,116,2,18,18,2020-01-15,"Appointing and authorizing managers for the impeachment trial of Donald John Trump, President of the United States",On Agreeing to the Resolution,Passed,228,193,0,9
House,116,2,19,19,2020-01-15,,On Agreeing to the Amendment,Failed,163,257,0,15
House,116,2,20,20,2020-01-15,Protecting Older Workers Against Discrimination Act,On Motion to Recommit with Instructions,Failed,196,220,0,13
House,116,2,21,21,2020-01-15,Protecting Older Workers Against Discrimination Act,On Passage,Passed,261,155,0,13
House,116,2,22,22,2020-01-16,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to “Borrower Defense Institutional Accountability”",On Passage,Passed,231,180,0,18
House,116,2,23,23,2020-01-27,Never Again Education Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,393,5,0,32
House,116,2,24,24,2020-01-27,Advancing Research to Prevent Suicide Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,385,8,0,36
House,116,2,25,25,2020-01-28,"Providing for consideration of the bill (H.R. 3621) Student Borrower Credit Improvement Act, and providing for consideration of the Senate amendment to the bill (H.R. 550) Merchant Mariners of World War II Congressional Gold Medal Act",On Ordering the Previous Question,Passed,227,184,0,18
House,116,2,26,26,2020-01-28,"Providing for consideration of the bill (H.R. 3621) Student Borrower Credit Improvement Act, and providing for consideration of the Senate amendment to the bill (H.R. 550) Merchant Mariners of World War II Congressional Gold Medal Act",On Agreeing to the Resolution,Passed,223,189,0,17
House,116,2,27,27,2020-01-28,Tibetan Policy and Support Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,392,22,0,16
House,116,2,28,28,2020-01-29,,On Agreeing to the Amendment,Agreed to,231,185,0,19
House,116,2,29,29,2020-01-29,,On Agreeing to the Amendment,Agreed to,376,38,0,21
House,116,2,30,30,2020-01-29,Student Borrower Credit Improvement Act,On Motion to Recommit with Instructions,Failed,201,208,0,20
House,116,2,31,31,2020-01-29,Student Borrower Credit Improvement Act,On Passage,Passed,221,189,0,19
House,116,2,32,32,2020-01-29,Temporary Reauthorization and Study of the Emergency Scheduling of Fentanyl Analogues Act,On Motion to Suspend the Rules and Pass,Passed,320,88,0,21
House,116,2,33,33,2020-01-30,Merchant Mariners of World War II Congressional Medal Act,On Concurring in the Senate Amdt with Amdt Specified in Section 4(a) of H. Res. 811,Passed,228,175,0,26
House,116,2,34,34,2020-01-30,Merchant Mariners of World War II Congressional Medal Act,On Concurring in the Senate Amdt with Amdt Specified in Section 4(b) of H. Res. 811,Passed,236,166,0,27
