chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,116,1,1,1,2019-01-03,,Call by States,Passed,0,0,431,3
House,116,1,2,2,2019-01-03,,Election of the Speaker,Pelosi,0,0,0,0
House,116,1,3,3,2019-01-03,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes",On Motion to Table the Motion to Refer,Passed,230,197,0,5
House,116,1,4,4,2019-01-03,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Ordering the Previous Question,Passed,233,197,0,2
House,116,1,5,5,2019-01-03,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Motion to Commit with Instructions,Failed,197,232,0,3
House,116,1,6,6,2019-01-03,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",On Agreeing to the Resolution,Passed,234,194,0,4
House,116,1,7,7,2019-01-03,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title I of the Resolution,Passed,234,197,0,1
House,116,1,8,8,2019-01-03,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Motion to Recommit with Instructions,Failed,197,233,0,2
House,116,1,9,9,2019-01-03,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",On Passage,Passed,239,192,0,1
House,116,1,10,10,2019-01-03,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,Failed,199,232,0,1
House,116,1,11,11,2019-01-03,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",On Passage,Passed,241,190,0,2
House,116,1,12,12,2019-01-04,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title II of the Resolution,Passed,418,12,0,2
House,116,1,13,13,2019-01-08,Pandemic and All-Hazards Preparedness and Advancing Innovation Act,On Motion to Suspend the Rules and Pass,Passed,401,17,0,15
House,116,1,14,14,2019-01-08,Chemical Facility Anti-Terrorism Standards Program Extension Act,On Motion to Suspend the Rules and Pass,Passed,414,3,0,16
House,116,1,15,15,2019-01-08,,On Approving the Journal,Passed,235,161,2,35
House,116,1,16,16,2019-01-09,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Ordering the Previous Question,Passed,231,195,0,7
House,116,1,17,17,2019-01-09,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules",On Agreeing to the Resolution,Passed,231,195,0,7
House,116,1,18,18,2019-01-09,Clarity on Small Business Participation in Category Management Act,On Motion to Suspend the Rules and Pass,Passed,414,11,0,8
House,116,1,20,20,2019-01-09,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,Failed,200,227,0,6
House,116,1,19,19,2019-01-09,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",On Agreeing to Title III of the Resolution,Passed,235,192,0,6
House,116,1,21,21,2019-01-09,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes",On Passage,Passed,240,188,0,5
House,116,1,22,22,2019-01-10,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,Failed,193,228,0,12
House,116,1,23,23,2019-01-10,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes",On Passage,Passed,244,180,0,9
